cadence,cell_id,estimability_rate_L,estimability_rate_N,memory,n_replicates,nire_h26_L_median,nire_h26_N_median,rmse_test_L_median,rmse_test_N_median,scenario,topology
4,CURVE_curve_block_outage_0,1.0,1.0,MED,60,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,S5,path5
4,CURVE_curve_block_outage_1,1.0,1.0,MED,60,0.8587398759189324,0.8033952792746621,0.5253566592342457,0.5584483012713486,S5,path5
4,CURVE_curve_block_outage_2,1.0,1.0,MED,60,0.8363805760051004,0.7834133201783662,0.538722017067812,0.604034619947427,S5,path5
1,CURVE_curve_cadence_1,1.0,1.0,MED,60,0.844167342916488,0.7413211102798469,0.3984658607263861,0.40110934335969683,S5,path5
13,CURVE_curve_cadence_13,1.0,0.8333333333333334,MED,60,0.914099729651747,0.9039218046047723,0.9240937882167188,0.9833117442881001,S5,path5
2,CURVE_curve_cadence_2,1.0,1.0,MED,60,0.8235045480408048,0.7063241935057729,0.4253101587851441,0.4295201515431506,S5,path5
4,CURVE_curve_cadence_4,1.0,1.0,MED,60,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,S5,path5
4,CURVE_curve_confounding_0p0,1.0,1.0,MED,60,0.8576787158394541,0.7624843587531576,0.558523115479874,0.5615057905234553,S2,path5
4,CURVE_curve_confounding_0p3,1.0,1.0,MED,60,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,S2,path5
4,CURVE_curve_confounding_0p6,1.0,1.0,MED,60,0.8393923006131756,0.7183797213043981,0.4683125942198314,0.47567775575000043,S2,path5
4,CURVE_curve_confounding_0p9,1.0,1.0,MED,60,0.8280881348930988,0.6957969589243689,0.4117959603991883,0.43040453368668774,S2,path5
4,CURVE_curve_coupling_strength_HIGH,1.0,1.0,MED,60,0.9143245224027869,0.750481795245964,0.5509180227653472,0.5517833660832989,S5,path5
4,CURVE_curve_coupling_strength_LOW,1.0,1.0,MED,60,0.7740166753977622,0.674132723842421,0.60959744687774,0.6237724777281308,S5,path5
4,CURVE_curve_coupling_strength_MED,1.0,1.0,MED,60,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,S5,path5
4,CURVE_curve_coupling_strength_NONE,1.0,1.0,MED,60,0.5804108257126528,0.5726621160263957,0.6579131547619239,0.695688697136431,S5,path5
4,CURVE_curve_memory_HIGH,1.0,1.0,HIGH,60,0.7699019105493068,0.70041835233294,0.8362200553505519,0.8494561514078739,S5,path5
4,CURVE_curve_memory_LOW,1.0,1.0,LOW,60,0.8101611555741808,0.73470920400711,0.31147847784868865,0.31691571570814825,S5,path5
4,CURVE_curve_memory_MED,1.0,1.0,MED,60,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,S5,path5
4,CURVE_curve_missing_0p0,1.0,1.0,MED,60,0.8419891955429032,0.7305986657825336,0.5101100192030867,0.5036022876010136,S5,path5
4,CURVE_curve_missing_0p1,1.0,1.0,MED,60,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,S5,path5
4,CURVE_curve_missing_0p3,1.0,0.38333333333333336,MED,60,0.8431261990582504,0.8305197938153861,0.5417711273827563,0.6159545261792522,S5,path5
4,CURVE_curve_missing_0p5,0.9333333333333333,0.0,MED,60,0.84383550335167,nan,0.6175244840275194,nan,S5,path5
4,CURVE_curve_observed_nodes_0p4,1.0,1.0,MED,60,0.8940682149537216,0.9167726197439399,0.5116320940669392,0.5120882742282056,S5,path5
4,CURVE_curve_observed_nodes_0p6,1.0,1.0,MED,60,0.8617623488739552,0.8749323491423678,0.5257532972647627,0.5215027762129221,S5,path5
4,CURVE_curve_observed_nodes_0p8,1.0,1.0,MED,60,0.8305299754681947,0.787448082188448,0.5143548105728433,0.5252213389142788,S5,path5
4,CURVE_curve_observed_nodes_1p0,1.0,1.0,MED,60,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,S5,path5
4,CURVE_curve_process_noise_0p05,1.0,1.0,MED,60,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,S5,path5
4,CURVE_curve_process_noise_0p25,1.0,1.0,MED,60,0.8445365228713559,0.6906121220273432,0.6773185321491508,0.6983430667181436,S5,path5
4,CURVE_curve_process_noise_1p0,1.0,1.0,MED,60,0.8418261606650226,1.0139269619247326,1.8851364614634922,1.9796712701684003,S5,path5
4,CURVE_curve_pumping_quality_PEXACT,1.0,1.0,MED,60,0.7063632901983188,0.6302160921727836,0.4526189586570074,0.46312978746939537,S5,path5
4,CURVE_curve_pumping_quality_PMULTNOISE,1.0,1.0,MED,60,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,S5,path5
4,CURVE_curve_pumping_quality_PSCALEBIAS,1.0,1.0,MED,60,0.7373218658140444,0.636501878196445,0.4508790710004436,0.46283073683967824,S5,path5
