search_id,E0_domain,E0_item,source_pursued,why_pursued,official_url,outcome,ACCESS_STATUS,artifact_obtained,notes,retrieval_date
E01_GWR2024_MAPSERVER,E0.1,679 assessment-unit polygons,NWIC GWR2024_CGWB MapServer,Official 2024 block/taluka/mandal polygon layer documented on GIS REST.,https://gis.nwic.in/server/rest/services/NWIC/GWR2024_CGWB/MapServer,OFFICIAL_SOURCE_FOUND_BUT_ACCESS_REQUIRED,ACCESS_REQUIRED,service metadata JSON only,"Layer 8 'Categorization of Blocks/Talukas/Mandals' is documented with block, code, district, class, annual draft/recharge fields. Query returned HTTP 200 with ArcGIS error 'Instance not available on server'. Geometry not obtained. PDF map would not clear this blocker either.",2026-09-08T00:15:03Z
E01_GWR2024_LAYER8_QUERY,E0.1,679 assessment-unit polygons,NWIC GWR2024_CGWB MapServer layer 8 query,Attempt native GeoJSON/JSON polygons for AP assessment units.,https://gis.nwic.in/server/rest/services/NWIC/GWR2024_CGWB/MapServer/8/query,ERROR,ERROR,query JSON error payload,"{""code"": 400, ""message"": ""Unable to complete operation."", ""details"": [""Instance not available on server""]}",2026-09-08T00:15:03Z
E01_GWRA2024_BLOCKWISE_PDF,E0.1,assessment-unit stable IDs,CGWB Block wise Categorization GWRA-2024 PDF,Official unit-name/category list for 2024 vintage; not geometry.,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17365121771867268670file.pdf,PUBLIC_SOURCE_OBTAINED,OBTAINED,true,PDF obtained. Does not clear polygon or 679/667 reconciliation blockers.,2026-09-08T00:15:03Z
E01_INGRES_DASHBOARD,E0.1,679 assessment-unit polygons,IN-GRES (CGWB/IIT-Hyderabad) GIS dashboard,Official GIS platform used for GWRA dissemination; may hold unit polygons/IDs.,https://ingres.iith.ac.in/,OFFICIAL_SOURCE_FOUND_BUT_ACCESS_REQUIRED,ACCESS_REQUIRED,false,Dashboard identified. Public REST/JSON API for unit polygons was not found (SPA returns HTML; POST /api/get_state_list 404). Do not scrape dashboard tiles as geometry.,2026-09-08T00:15:03Z
E01_679_667_RECONCILIATION,E0.1,679 vs 667 revenue-mandal reconciliation,CGWB GWRA 2024 vs CGWB AP Yearbook 2024-25,Frozen conflict remains; search for an authoritative crosswalk.,https://cgwb.gov.in/en/ground-water-resource-assessment-0,NO_AUTHORITATIVE_SOURCE_LOCATED,ACCESS_REQUIRED,false,No public machine-readable 679-vs-667 crosswalk located. Numerical proximity is not identity.,2026-09-08T00:15:03Z
NWDP_APGWD_GWL_TELEMETRY_PACKAGE,E0.2,telemetry / weekly heads,"Ground Water Level (Telemetry - Hourly), Andhra Pradesh Ground Water Department",Official AP GWD telemetry heads with advertised station identifier; previously NOT_LOCATED.,https://nwdp.nwic.gov.in/dataset/ground-water-level-telemetry-hourly-andhra-pradesh-ground-water-department,PUBLIC_SOURCE_OBTAINED,OBTAINED,3 resources,"Dataset contains hourly groundwater level collected from telemetry monitoring stations established by Andhra Pradesh WRDs . Each record includes the date, station identifier with geographic hierarchy, and the corresponding groundwater level values in (m).",2026-09-08T00:15:03Z
NWDP_APGWD_GWL_MANUAL_QUARTERLY_PACKAGE,E0.2,manual quarterly head / depth series,"Ground Water Level (Manual- Quarterly), Andhra Pradesh Ground Water Departments",Official AP GWD manual quarterly heads; compare identity fields vs CGWB NWDP CSVs.,https://nwdp.nwic.gov.in/dataset/ground-water-level-manual-quarterly-andhra-pradesh-ground-water-departments,PUBLIC_SOURCE_OBTAINED,OBTAINED,3 resources,"Dataset contains Quarterly groundwater level collected from manual monitoring stations established by Andhra Pradesh Ground Water. Each record includes the date, station identifier with geographic hierarchy, and the corresponding groundwater level values in (m).",2026-09-08T00:15:03Z
NWDP_APGWD_RAINFALL_TELEMETRY_PACKAGE,E0.4,rainfall,"Rainfall (Telemetry - Hourly), Andhra Pradesh Ground Water Department",Official AP GWD hourly rainfall overlapping groundwater stations.,https://nwdp.nwic.gov.in/dataset/rainfall-andhra-pradesh-telemetry-hourly,PUBLIC_SOURCE_OBTAINED,OBTAINED,3 resources,"The Rainfall (Telemetry - Hourly) dataset, collected by the Andhra Pradesh Ground Water Department, contains hourly rainfall measurements recorded through telemetry stations across the state. Each record includes the timestamp, station identifier, geographic hierarchy, and recorded rainfall values, supporting groundwater recharge assessment, hydrological modeling, and water resource planning in An",2026-09-08T00:15:03Z
E02_NWDP_CGWB_TELEMETRY_NATIONAL,E0.2,telemetry / weekly heads,NWDP CGWB Ground Water Level (Telemetry),Frozen registry listed no AP resource on the CGWB telemetry dataset.,https://www.nwdp.nwic.gov.in/en/dataset/ground-water-level-telemetry-hourly-central-ground-water-board-cgwb,SOURCE_EXISTS_BUT_MACHINE_READABLE_DATA_NOT_FOUND,NOT_OBTAINED,false,Not re-downloaded. AP GWD telemetry on NWDP supersedes this as the AP-specific public telemetry source.,2026-09-08T00:15:03Z
E02_NWIC_GROUNDWATER_STATIONS_GIS,E0.2,monitoring-station stable ID,NWIC Groundwater_Stations MapServer,Possible official station-master GIS.,https://gis.nwic.in/server/rest/services/NWIC/Groundwater_Stations/MapServer,SOURCE_EXISTS_BUT_MACHINE_READABLE_DATA_NOT_FOUND,NOT_OBTAINED,false,Service exists (description: Ground water station data) but published no queryable layers in this pass. Full extent NaN.,2026-09-08T00:15:03Z
