date_start,date_end,event,evidence_source,source_type,direct_physical_relevance,attribution_confidence,notes
2023-03,2023-03,Kestrel Phase I equipment arrival (CPU nodes and parallel storage) at ESIF HPC data center,NREL news 2024-08-19 'Kestrel Supercomputer Ready To Energize Renewable Energy Research',NREL/NLR official news,facility IT/power/cooling load preparation; not an HVAC-meter definition,HIGH as CPU-arrival date; LOW as HVAC-step cause,CPU phase installed summer 2023; early users then; opened for all projects at start of FY2024.
2023-summer,2023-09,Kestrel CPU phase installed; early-user availability,NREL news 2024-08-19,NREL/NLR official news,IT load increase possible; HVAC electrical mapping unknown,MEDIUM date precision (season only),Do not treat summer 2023 CPU install as the 2024 HVAC step.
2023-10-01,2023-10-01,Kestrel opened for all projects at start of FY2024,NREL news 2024-08-19,NREL/NLR official news,production CPU load,HIGH as policy date; LOW as HVAC-step cause,FY2024 begins 1 Oct 2023.
2023,2024,ESIF HPC data-center electrical and mechanical work to raise capacity from 5 MW to 7.5 MW of electrical AND cooling capacity,NLR HPC announcement 2024-06-11 'Recent Outages - Continuity of Operations Plan',NLR official HPC operations announcement,HIGH: electrical and mechanical plant work explicitly cited as driver of 2024 planned outages,HIGH that such work occurred in 2024; LOW that a named device is the HVAC kW step,"NLR: 'Many of the planned outages were driven by electrical and mechanical work required to upgrade the ESIF data center from 5MW to 7.5MW of electrical and cooling capacity.' Typo 'mechancial' in source. Secondary contractor profile (EEI, not NLR) describes a 2023 HPCDC expansion commissioning +2.5 MW cooling; not used as the primary date."
2024-01-29,2024-02-09,Kestrel planned outage for maintenance and Phase II GPU integration,NLR HPC announcement 2024-01-12 'Kestrel Planned Outage and Phase II GPU Integration',NLR official HPC operations announcement,IT/system integration outage; GPU nodes integrated then tested later,HIGH as outage window; LOW as HVAC-step cause,Tentative start Monday Jan 29 07:00; scheduled through Friday Feb 9. GPU nodes then undergo functionality/acceptance testing for production later in FY24.
2024-02,2024-02,Arrival/integration of Kestrel GPU nodes (NREL news: 132 4×H100 nodes),NREL news 2024-08-19; NLR 2024-01-12 outage announcement,NREL/NLR official,new IT heat/electrical load class; not proof of HVAC meter change,HIGH that GPUs arrived Feb 2024; document discrepancy on node count (see notes),NREL 2024-08-19 and DCD 2024-08-21: 132 GPU nodes × 4 H100. Current NLR Kestrel System Configuration page lists 156 GPU-accelerated nodes. Discrepancy preserved; not silently reconciled. Do not infer HVAC jump = GPU heat.
2024-05,2024-05,GPU node testing/validation completed; early users invited,NREL news 2024-08-19,NREL/NLR official news,early GPU production load possible,MEDIUM date precision (month),NLR 2024-06-11 still said GPU nodes 'coming soon' / early testers in next couple of weeks — public documents are not identical on GA timing.
2024-06-11,2024-06-11,NLR states GPU nodes in final acceptance testing; Eagle decommission date confirmed,NLR HPC announcement 2024-06-11 'Kestrel GPUs and Eagle End of Service',NLR official HPC operations announcement,operational timeline marker,HIGH as announcement date,Same day as the 5–7.5 MW outage-explanation note.
2024-06-15,2024-06-15,Eagle decommissioning,NLR HPC announcement 2024-06-11,NLR official HPC operations announcement,removal of Eagle IT load; HVAC mapping unknown,HIGH as decommission date; LOW as HVAC-step cause,Do not call the HVAC step Eagle-caused from coincidence. Eagle storage access intended through 2024-09-30.
2024-08-19,2024-08-21,Public statements that Kestrel full buildout / GPU production availability is complete,NREL news 2024-08-19; Data Center Dynamics 2024-08-21 (secondary report of NREL completion),NREL official news plus trade press,GPU production era; TEST split begins 2024-08-29,HIGH that summer 2024 is full-buildout messaging; exact GA instant not unique across documents,"Experiment GPU_GA marker 2024-08-21 follows the DCD date and is a documented-timing epoch, not a residual-mined breakpoint."
2012-2014,2014,COUNTERPOINT: original ESIF HPC design already included main fan-wall air-handling units,NREL ESIF HPC Data Center fact sheet OSTI 1050124; dataset README hvac_kw definition,NREL/NLR primary design/meter documentation,"HVAC meter already defined to capture fan walls, electrical-room fan coils, make-up air",HIGH that fan walls are original; therefore 2024 HVAC jump ≠ new fan walls unless a primary 2024 document says so,No primary NLR/NREL document in this audit states that new/additional fan-wall equipment or a new HVAC meter was commissioned in 2024.
