path,bytes,sha256
data/derived/DWR_BASIN_8_001.geojson,1193737,e78e967ae9038236b456445a3f4bac21b2c13628a3914019112c8f736a43ec03
data/derived/DWR_OCWD_HEAD_OBSERVATIONS.parquet,1935719,b190d0525b927821acbba4f864a61f715333a040884a21327639bcbbb5e13101
data/derived/DWR_OCWD_PERFORATIONS.parquet,7681,254a663d16f35349fc3c2d31a382e6b604bc793cf1a6600db7fb57ddb2c65687
data/derived/DWR_OCWD_WELL_MASTER.parquet,111335,f1c3acdb5e8a7ee45eefa6a833f9d0ceedf2f429fba15d8c7b16735098d1aebc
data/derived/DWR_WCR_ORANGE_BOREHOLE.parquet,78197,35751b42bd2d50a514a3c784ec9e15c3eb447f1b275490d0097cdce5ddd7bfcf
data/derived/DWR_WCR_ORANGE_CASING.parquet,248966,ab285cce58f9fe6d374c473369d39d9b9d5287e7103ba6cedaa68800049514c0
data/derived/DWR_WCR_ORANGE_GEOLOGIC_LOGS.parquet,795266,af99b73d6ae1bd24cf6195bd9332944b8b784c1a9f227439b0aa9a0f80eaa064
data/derived/DWR_WCR_ORANGE_REPORT_LINKS.parquet,1046049,a16403dcae9c974959716b07a48dc58fff9dd3740f8d7f685aff141c9f7bd32e
data/derived/DWR_WCR_ORANGE_WELL_MASTER.parquet,4477804,94ac22ba1bd79916660ed9178ee3c10656a277919a3f2c29ced197d645d5270a
data/derived/DWR_WCR_ORANGE_WELL_NUMBERS.parquet,106180,579c6b444fc24eba6dbfe9f0ff1449d2960f21e65b216277496ef94418d6b7a9
data/derived/USGS_11074000_SANTA_ANA_RIVER_DAILY.parquet,334348,a23cf9f155566ce72eb53faef87c76bd503e35b5c4f637e6c5bc791a7b93b3b7
data/derived/USGS_11074000_SANTA_ANA_RIVER_IV_RECENT.parquet,30649,7e19bbc7d86ef3aa5863edd02180b15f3b8d897376b8573b76be79e9ec45275f
outputs/feasibility/DATA_REQUIREMENT_GAP_MATRIX.csv,3696,1b82f0817aa6e4bd96be0ceba8a92a6aa2f3a685e93a9f88d212c3987962868c
outputs/feasibility/DATA_REQUIREMENT_GAP_MATRIX.md,4303,79428e03279e97d757a77ddfda2efd2bd96da49f006f96dbeb66944bcb0265fa
outputs/feasibility/FEASIBILITY_GATES.csv,1806,2f5ca8e2e6be67bb58c3610e7c05cc6a7fc2c64fbca3e82058f654e3de2986c3
outputs/feasibility/FEASIBILITY_GATES.md,2072,371d0f4a9ff6685f4e166c2cc5fe586fa6cdaa31d7a3d418d5f1eb95ab8cdc35
outputs/feasibility/FINAL_FEASIBILITY_REPORT.md,6274,7ba8492a385e0e2e54fdd9653334fa6fad3e69c0f14976c1bc5d63fe2052d750
outputs/feasibility/FINAL_FEASIBILITY_STATUS.json,3243,f4bec6959d8e7cf4df01a88d3eb0c107cecaf0a57c8a2c41d8041e867ebe6f15
outputs/figures/fig01_dwr_basin_head_station_coverage.pdf,97573,18c60e569228f9ec470514e142cda1e79bf2bc4572e121a5a8def7723f70f5d7
outputs/figures/fig01_dwr_basin_head_station_coverage.png,480178,a5df834947bbb6d47c5e125a5017aff88c12b3592dc91b3dc21e16c470770514
outputs/figures/fig02_dwr_head_observation_frequency.pdf,21452,05fe013d0264667210a73b604c562ff23476ed8deae3810eaaf107ca4822cc7e
outputs/figures/fig02_dwr_head_observation_frequency.png,115644,5184aa0455cbb476d98e253ead3b70eb2a77d068912cc5ec9724377fa97a3078
outputs/figures/fig03_dwr_head_temporal_coverage.pdf,21585,edeb0d110931f41a5538a65befdd39b547abfccf3e650689e8d5d8b43fc0dbd2
outputs/figures/fig03_dwr_head_temporal_coverage.png,187052,4acca0191a9909ffef0e08b5d4070c09d20ea508fe9b859006029e390c44076e
outputs/provenance/ACQUISITION_LEDGER.md,12003,227d80e31cda3b74034f4b2cf31b8d078cf7300f7b378240611e47f7fbe01c63
outputs/provenance/BASIN_GEOMETRY_PROVENANCE.json,705,c6c75dc6eb6f0bd744b935185f05511a551cddbfcb454200166bac3dfd370a2b
outputs/provenance/DWR_CONTINUOUS_GWL_STATUS.json,597,3eec1394b6f03c4d7f9fd241f3db8766bf33263bfe958c998424a72b20c8224b
outputs/provenance/DWR_PERIODIC_MEASUREMENT_DATA_DICTIONARY.csv,3110,9b5b1a662f7b50028749a65a37f4a8a21a56cd298727be2df5bac74975555ef3
outputs/provenance/DWR_PERIODIC_METADATA.txt,3034,9506502ee106e7c3de42e41b8c460aee3781637ae74430b19992d979facda921
outputs/provenance/DWR_PERIODIC_PERFORATION_DATA_DICTIONARY.csv,494,00b4898bf61829035c6fe19e9b18a9b603f479ae2301cb51f7a262f0e69f8001
outputs/provenance/DWR_PERIODIC_STATION_DATA_DICTIONARY.csv,1356,c698825f6671910b05dc311258902e6157210fb34e77b11e3b416c0c3d8bc323
outputs/provenance/PACKAGE_FILE_HASHES.csv,14391,308510e820df2d387ab51b9dc8629dac577c5885a465b74dc89b533c0a2c8178
outputs/provenance/PDF_EXTRACTION_SPOT_CHECK.md,613,3af6d6354162bf2fecc3e8d93ad8b6e8b18891d0ade7e76d13dd4aab865fd9d7
outputs/provenance/PYTHON_ENVIRONMENT.json,576,1e7d848c7ca6f5f86350db4f6e59ba46456a2d4c3d6e471acf2c4d14536915f5
outputs/provenance/RAW_DOWNLOAD_HASH_MANIFEST.csv,12125,bff89f2fc7d788fe38490c8e549b7ddc8cd84127acda4304c92d617e175a2e00
outputs/provenance/RAW_DOWNLOAD_HASH_MANIFEST.json,17194,5f6e00de084dcfa64879e200aa6f64ba3be69b3b05ceb11f2a9796525600b6bc
outputs/provenance/REPOSITORY_PREFLIGHT.md,1136,ff1d136c7562e2ca28d9dcf6d0facc5fff59032fffcf94433ee6916104cf66e3
outputs/tables/CORE_DOCUMENT_FACTS_LEDGER.csv,2712,8c90b3282e300456c1c69a30bb878a746a3944c4bb82985ab2d034bb21652069
outputs/tables/DWR_OCWD_ANNUAL_HEAD_COVERAGE.csv,1255,e1b87a93f8bd90054eae6497ed97012c756ec9901d10f9783cdd1d102dbaa416
outputs/tables/DWR_OCWD_COVERAGE_BY_COLLECTING_ENTITY.csv,732,48e369b84fd6a4851d9d18bed4ff81cf80ea36c4bbeb871944993809d3d5dbf4
outputs/tables/DWR_OCWD_IMPORTANT_TEMPORAL_GAPS.csv,24146,9adcd7eea6ca5a8d0568c48dcec8af74b3ecce29fb0daf87af4d52b06027692d
outputs/tables/DWR_OCWD_MONTHLY_COMMON_SUPPORT_RUNS.csv,2702,5de8c6314dd283d415d09897a8e2ab9a42c4f15e1113854564233f374bcefd91
outputs/tables/DWR_OCWD_MONTHLY_HEAD_COVERAGE.csv,16180,1806c825c937eb80ca0e41f568602893b382e412fd4776ed87944831ea6a4965
outputs/tables/DWR_OCWD_OBSERVATION_COUNT_DISTRIBUTION.csv,255,9066183160371bf5991bbb9bcebcc4a4a8f0b598c2b6b92fccc78db7635f8ebc
outputs/tables/DWR_OCWD_OBSERVATION_FREQUENCY_DISTRIBUTION.csv,237,b3adca320a014bd70d6b6260ab91feb9064de102b7a5fdcc522155df4b9d2fb8
outputs/tables/DWR_OCWD_PUBLIC_COVERAGE_SUMMARY.json,1742,3bcccf5d15aab6e2b570bed8a1bf56a79c1d7545d40dbdc160c7bdd1b59f35a5
outputs/tables/DWR_OCWD_PUBLIC_COVERAGE_SUMMARY.md,1869,09989eca23fb11baa0c8bb938ea473bf7c1e54299ea505c1d7177a48d76c91d7
outputs/tables/DWR_OCWD_ROLLING_10Y_COMMON_SUPPORT.csv,1876,731c27779fdf3687306d120fff22d041a6d09d517898333c98431ad72604bc2a
outputs/tables/DWR_OCWD_ROLLING_5Y_COMMON_SUPPORT.csv,1841,2b1bc71fa66eb6f461d0b78ab3b4334517081837d97ce967cc3d4e109380862b
outputs/tables/DWR_OCWD_SOURCE_INDEPENDENCE_SUMMARY.csv,344,9d693ee93fa6da7df36eef54a4e94c6d9f479b87968832f9eaa6a1ab184c7687
outputs/tables/EVENT_REGISTRY.csv,2888,9d54bd00674c692aedebae9031eb4897b82bdd204be67ee1ac7fd80e01a001ce
outputs/tables/MBI_MONITORING_WELL_SCREEN_REGISTRY.csv,4095,c59ccd7ed8aa0100c7fc2048ccbd5f1910e1eed90a54647b57069e5e6d986259
outputs/tables/OBSERVATION_INDEPENDENCE_LEDGER.csv,15433146,f4349b06cebe2f93c4cf245d1ab0bff3ce569f556e0a3c93720137bec7022c00
outputs/tables/OCWD_HISTORICAL_RECHARGE_ACCOUNTING_DIAGNOSTIC.csv,1332,dcb7f4cf7bc9d5318a1dddb235a0d5f6ef77695476c5a90622cb1d7872c83d20
outputs/tables/OCWD_HISTORICAL_RECHARGE_JULY_2009_PERCOLATION.csv,3952,e7a084e5d731f50e10cc7dd05155e26904abaa34e8cb8d3a9e6ddde31cb6bf32
outputs/tables/OCWD_HISTORICAL_RECHARGE_METHODS.csv,849,a20505bc0d17fb416be1b4c925700392f7767b02eedd4a2ef9f3c069f2ccab59
outputs/tables/OCWD_MBI_2023_MONTHLY_INJECTION.csv,2837,11b7dd978c590bb9bb1911b6896b89cd79358c47847fbc95c96e60a6d62a5dec
outputs/tables/OCWD_MBI_2023_REPORTED_TOTALS.csv,1172,a3e0c3f54957bb278a936dcee016baa5a27e1a4ab6f59c9bcea81e02bb15c213
outputs/tables/OCWD_RECENT_WATER_RESOURCES_REPORT_FIELDS.csv,15921,65a5afd0315d3e598306ce74d4117609eb83ff125699766b3a41236984ba4014
outputs/tables/OCWD_RECENT_WATER_RESOURCES_REPORT_FIELDS.md,17201,1f41f77b9696607d37cd207d60d7565ed1bb631c2878f9fafe96b0b1b8463405
outputs/tables/OCWD_RECHARGE_FACILITY_INVENTORY_2009_2010.csv,4482,dfe6a9f21f4c76d187630a3b3b34acf339d13506734231a9c8654323c32bd3f9
outputs/tables/TRACER_VALIDATION_REGISTRY.csv,19481,46821ade16c946d0e719b87058fe2dae6b8c264f28fb14dd775d1d29eded381d
outputs/tables/USGS_11074000_COVERAGE.json,557,d0b34c7af59a703a06dbaaa8054d9f3d8cc5815943fa9270c11329eaeb66251f
outputs/tables/WCR_MATCH_LEDGER.csv,196908,e9f6d875708ba701d1295b18839aebfbff107f66da57e5d36f45de6539264b49
outputs/tables/WCR_SUPPLEMENT_COVERAGE.json,317,72dcb5f365ba416a2f1a1eed384f3dded22f643fcddfe28744728e442f36e861
requests/OCWD_BASIN_MODEL_REQUEST.md,1935,33707bd9a7d910ed180fc435ca28cd5cc8e2ae5d7f5d23970258cc2e3face0c6
requests/OCWD_WRMS_DATA_REQUEST.md,5790,765708400c8101b4a8652ce65b6d38e0fbf7038eff3b76a55722a152e5745ff4
