file,function,equation,physical_mechanism,parameter,units,current_value,source_provenance,site_specific_vs_generic,fixed_vs_fitted,epoch_dependence,water_boundary,scientific_status
src/prineville_graybox.py,Params.supply_target_C,t_supply target,cold-aisle / supply-air setpoint,supply_target_C,degC,25.0,code prior; OCP v1.0 cold aisle 65–85 F (18.3–29.4 C) contains 25 C,generic prior inside documented range,fixed prior,none (campus-wide constant),n/a,KEEP_AS_SCENARIO
src/prineville_graybox.py,Params.return_air_C,declared unused,return-air / winter mixing (documented at Prineville; not in simulate),return_air_C,degC,35.0,declared in Params; simulate() does not use it,placeholder,fixed unused,none,n/a,REQUIRED_MISSING_IN_EQUATIONS
src/prineville_graybox.py,Params.evap_effectiveness,"t_full = t_db - ε max(t_db-t_wb,0)",direct evaporative approach to wet-bulb,evap_effectiveness,1,0.85,generic saturator prior; not a Prineville meter,generic,fixed prior,none,n/a,REQUIRES_SITE_CALIBRATION
src/prineville_graybox.py,Params.server_deltaT_C,m_air = P_IT*1e6/(cp*ΔT),IT sensible-heat airflow sizing,server_deltaT_C,K,12.0,"2011 article discusses raising server delta-T; 12 K is a prior not a site measurement; DCD tour cites 30–35 F aisle delta as containment, not the model ΔT",generic prior,fixed prior,none,n/a,REQUIRES_SITE_CALIBRATION
src/prineville_graybox.py,simulate.m_air,m_air = P_IT*1e6/(cp*ΔT),dry-air mass flow from IT heat,m_air,kg/s,derived,physics identity inside gray-box,generic psychrometrics + latent IT,derived,none,n/a,PRESENT_AND_SUPPORTED
src/prineville_graybox.py,simulate.t_supply,OA if t_db<=T*; else T* if reachable; else t_full,weather-rule supply temperature; named winter_mix but OA used when t_db<=T*,t_supply_C,degC,derived,rule-based; OCP mixing is not modeled,simplified site class,derived,none,n/a,PRESENT_BUT_INCOMPLETE_MIXING
src/prineville_graybox.py,simulate.evap_water,"m_air * max(w_s-w_o,0) at constant moist-air enthalpy",direct evaporative / humidification water added to air stream,evap_water_m3_per_h,m3/h,derived,psychrometric mass balance; adiabatic saturator proxy for MeeFog/ECH mist,mechanism class site-specific; coefficients generic,derived,none,"CONDITIONING_SITE_WATER (air-side mist), not Meta withdrawal",PRESENT_AND_SUPPORTED_FOR_EARLY_EPOCH
src/prineville_graybox.py,simulate.p_fan,0.025 * P_IT,fan-wall electricity proxy,fan_fraction_of_it,1,0.025,prior to leave room for ~1.07 PUE; OCP specifies VFD fan array,generic,fixed prior,none,n/a,KEEP_AS_SCENARIO
src/prineville_graybox.py,simulate.p_other,0.035 * P_IT,other facility electrical overhead,other_facility_fraction_of_it,1,0.035,prior; 2011 electrical-loss discussion is 7.5% total electrical not this split,generic,fixed prior,none,n/a,KEEP_AS_SCENARIO
src/prineville_graybox.py,simulate.p_evap_aux,0.005 * P_IT * spray,misting-pump auxiliary electricity,evap_aux_fraction,1,0.005,hardcoded prior in simulate(); MeeFog uses high-pressure pumps,generic,fixed prior,none,n/a,KEEP_AS_SCENARIO
src/prineville_graybox.py,simulate.cooling_mode,outside_air_or_winter_mix / partial_evap / full_evap,weather vs 25 C target; winter mixing not physically implemented,cooling_mode,categorical,derived,code label; OCP Appendix A has a psychrometric sequence of operations,simplified,derived,none — no PRN1 chiller mode,n/a,EPOCH_MISMATCH
src/conditional_reconstruction.py,select_water_scale_model,s * W_evap_raw → Meta withdrawal proxy,"empirical boundary mapping, not cooling physics",water_scale,1,fitted train-only (through 2022); value not read here,fitted on Meta annual withdrawal through 2022,site fitted mapping,fitted,global; one-break not selected,WITHDRAWAL (Meta campus) from CONDITIONING_SITE_WATER shape,BOUNDARY_MISMATCH_KEEP_AS_MAPPING
src/prineville_graybox.py,(absent),none,PRN1 chilled-water / CRAH / chiller,none,n/a,absent,permits 217-21-003734-MECH and 217-24-000066-MECH,site-specific missing,n/a,missing epoch,unidentified heat-rejection water if any,REQUIRED_MISSING
