path,sha256,bytes
main_documents/glossary/Network_Based_Data_Center_Glossary.tex,cf880b49cde92bc241e07f56b1034bf796c8b748bde0ec97b93d60905f2e0946,162855
main_documents/glossary/Network_Based_Data_Center_Glossary.pdf,e86db3edcb7ea78e2c94f850e80b641332583d05a6f75893a9ba24bb7abc561a,1616721
outputs/glossary_refresh_20260903/figures/fig01_data_coverage_provenance.png,371de77a81e91ee6f7307f4262dfbc1af04529e185628f08fcda2ddfdecfa244,177276
outputs/glossary_refresh_20260903/figures/fig01_data_coverage_provenance.pdf,c73a1af104d233410f4b63736eac6333db68d56d8c0b6ed119e1a6ccd30e9e9e,27085
outputs/glossary_refresh_20260903/figures/fig04_city_service_validation.png,5157cf9ce8fe06fa2eb562aae8438f76b475057b55d59f93091eef393e326741,257144
outputs/glossary_refresh_20260903/figures/fig04_city_service_validation.pdf,b29e06450d0ad676f7e53fa451bc0bb3574f06ad268a6b355d4001f3a6ad39bc,38485
outputs/glossary_refresh_20260903/tables/city_service_validation_metrics.csv,6da1c034b03e66a5255dd75b9a6d3593c422f14b65d2d2e3674c23f29d778822,1217
outputs/glossary_refresh_20260903/tables/city_water_boundary_accounting.csv,94cc155b4eb29774e4e1df8627387da00ee6f3e1cbe353de969e3beeb25e2d9a,1615
outputs/glossary_refresh_20260903/tables/city_water_boundary_reconciliation_diagnostic.csv,205bec80282867be5e5df256c6199bc3962885284e16b7570056b16818b237d5,1543
outputs/glossary_refresh_20260903/tables/external_validation_synthesis.csv,7b924136ab2cde8e0fd596e2380c0b74e0833e1324aa9d0af2bc032b0d855e86,2241
outputs/glossary_refresh_20260903/registries/data_source_inventory.csv,e2244578b589a0808698353d0a4c2c7548483195203c95d17c3ce15d950b63dd,35609
outputs/glossary_refresh_20260903/registries/model_quantity_registry.csv,abb2e332517ae70e568a7f657c3ba81af7ad8601de3f322ffb2aae583763a019,58238
outputs/glossary_refresh_20260903/registries/model_registry.csv,279e9999d72e4b521718a2895367a7d0ea2b5f8e80d3618cbc6c739296b923e9,21891
