cell_id,scenario,nire_B0,nire_L,nire_S,nire_N
CURVE_curve_block_outage_0,S5,1.0,0.849709637254372,0.8886819556514698,0.7326996062141401
CURVE_curve_block_outage_1,S5,1.0,0.8587398759189324,0.9597875257351545,0.8033952792746621
CURVE_curve_block_outage_2,S5,1.0,0.8363805760051004,0.9187308757192443,0.7834133201783662
CURVE_curve_cadence_1,S5,1.0,0.844167342916488,0.8852925492969963,0.7413211102798469
CURVE_curve_cadence_13,S5,1.0,0.914099729651747,1.199793082636689,0.9039218046047723
CURVE_curve_cadence_2,S5,1.0,0.8235045480408048,0.8961314393445841,0.7063241935057729
CURVE_curve_cadence_4,S5,1.0,0.849709637254372,0.8886819556514698,0.7326996062141401
CURVE_curve_confounding_0p0,S2,1.0,0.8576787158394541,0.9076072008573178,0.7624843587531576
CURVE_curve_confounding_0p3,S2,1.0,0.849709637254372,0.8886819556514698,0.7326996062141401
CURVE_curve_confounding_0p6,S2,1.0,0.8393923006131756,0.8689739872456048,0.7183797213043981
CURVE_curve_confounding_0p9,S2,1.0,0.8280881348930988,0.8403744090641819,0.6957969589243689
CURVE_curve_coupling_strength_HIGH,S5,1.0,0.9143245224027869,0.926040409036097,0.750481795245964
CURVE_curve_coupling_strength_LOW,S5,1.0,0.7740166753977622,0.7723151309549999,0.674132723842421
CURVE_curve_coupling_strength_MED,S5,1.0,0.849709637254372,0.8886819556514698,0.7326996062141401
CURVE_curve_coupling_strength_NONE,S5,1.0,0.5804108257126528,0.5678248512510289,0.5726621160263957
CURVE_curve_memory_HIGH,S5,1.0,0.7699019105493068,0.9228068376838309,0.70041835233294
CURVE_curve_memory_LOW,S5,1.0,0.8101611555741808,0.6401875400067685,0.73470920400711
CURVE_curve_memory_MED,S5,1.0,0.849709637254372,0.8886819556514698,0.7326996062141401
CURVE_curve_missing_0p0,S5,1.0,0.8419891955429032,0.9204968855112563,0.7305986657825336
CURVE_curve_missing_0p1,S5,1.0,0.849709637254372,0.8886819556514698,0.7326996062141401
CURVE_curve_missing_0p3,S5,1.0,0.8431261990582504,0.9831937941029889,0.8305197938153861
CURVE_curve_missing_0p5,S5,1.0,0.84383550335167,1.0713867544112925,nan
CURVE_curve_observed_nodes_0p4,S5,1.0,0.8940682149537216,1.0,0.9167726197439399
CURVE_curve_observed_nodes_0p6,S5,1.0,0.8617623488739552,1.0,0.8749323491423678
CURVE_curve_observed_nodes_0p8,S5,1.0,0.8305299754681947,0.9693225459242294,0.787448082188448
CURVE_curve_observed_nodes_1p0,S5,1.0,0.849709637254372,0.8886819556514698,0.7326996062141401
CURVE_curve_process_noise_0p05,S5,1.0,0.849709637254372,0.8886819556514698,0.7326996062141401
CURVE_curve_process_noise_0p25,S5,1.0,0.8445365228713559,0.9891754815074729,0.6906121220273432
CURVE_curve_process_noise_1p0,S5,1.0,0.8418261606650226,1.9086834803252666,1.0139269619247326
CURVE_curve_pumping_quality_PEXACT,S5,1.0,0.7063632901983188,0.7657149778147918,0.6302160921727836
CURVE_curve_pumping_quality_PMULTNOISE,S5,1.0,0.849709637254372,0.8886819556514698,0.7326996062141401
