time,day,hour_of_day,grid_price_per_mwh,grid_emissions_kg_per_mwh,grid_water_m3_per_mwh,pue,site_wue_m3_per_mwh_it
0,0,0,37.570496972219516,355.6821710806749,4.52,1.25,0.36
1,0,1,33.90134086789837,367.1577154222804,4.52,1.25,0.36
2,0,2,32.29855333415849,349.7058942685979,4.52,1.25,0.36
3,0,3,30.533281109049582,349.3666363538934,4.52,1.25,0.36
4,0,4,26.106016923371808,324.3356549572155,4.52,1.25,0.36
5,0,5,25.986718474402004,261.34951237444005,4.52,1.25,0.36
6,0,6,21.734786152668143,317.54991742148815,4.52,1.25,0.36
7,0,7,19.049365661485517,282.66012190335823,4.52,1.25,0.36
8,0,8,25.616061010802902,271.9035508037369,4.52,1.25,0.36
9,0,9,25.260657997259305,275.5991302387265,4.52,1.25,0.36
10,0,10,18.986015304315558,273.6071322865803,4.52,1.25,0.36
11,0,11,21.580706776294463,273.67030319861504,4.52,1.25,0.36
12,0,12,24.171493670575853,309.06285345321754,4.52,1.25,0.36
13,0,13,30.035472823185312,322.13905155082534,4.52,1.25,0.36
14,0,14,32.46719761505203,358.2487936290553,4.52,1.25,0.36
15,0,15,33.443409470755604,382.27499612574144,4.52,1.25,0.36
16,0,16,36.54683766082776,398.1126913898237,4.52,1.25,0.36
17,0,17,40.27858590311982,391.6061378578345,4.52,1.25,0.36
18,0,18,41.42676355893596,408.3162995725912,4.52,1.25,0.36
19,0,19,45.02729662881618,404.2949527793627,4.52,1.25,0.36
20,0,20,46.29346311631702,418.8120944822003,4.52,1.25,0.36
21,0,21,44.422319309558524,367.37358667987024,4.52,1.25,0.36
22,0,22,40.07285240908981,371.49212582997575,4.52,1.25,0.36
23,0,23,43.203196361250676,385.61209690538067,4.52,1.25,0.36
24,1,0,32.156681617873154,374.2953101838135,4.52,1.25,0.36
25,1,1,33.14683474997472,365.7826269670022,4.52,1.25,0.36
26,1,2,28.946818854872053,335.73620336244113,4.52,1.25,0.36
27,1,3,29.84518123759065,330.13954174000617,4.52,1.25,0.36
28,1,4,24.258845061090724,330.3943505005781,4.52,1.25,0.36
29,1,5,19.16597152752146,304.6291640527327,4.52,1.25,0.36
30,1,6,20.115643598177105,274.65600324094146,4.52,1.25,0.36
31,1,7,19.79198211279666,280.21545523406604,4.52,1.25,0.36
32,1,8,15.09139172935337,305.2832343751641,4.52,1.25,0.36
33,1,9,16.68162086382112,307.0392942239105,4.52,1.25,0.36
34,1,10,15.30258628423279,306.44469028244316,4.52,1.25,0.36
35,1,11,22.10082935959379,307.39226611753713,4.52,1.25,0.36
36,1,12,25.2508144767586,322.8109286015759,4.52,1.25,0.36
37,1,13,29.704502746247336,312.5686309898961,4.52,1.25,0.36
38,1,14,34.679282942750774,329.7205939894582,4.52,1.25,0.36
39,1,15,38.812905479216624,376.8233048734272,4.52,1.25,0.36
40,1,16,35.425956443277876,386.4485578301155,4.52,1.25,0.36
41,1,17,39.36039583345135,393.29595224092594,4.52,1.25,0.36
42,1,18,41.46669896678299,388.7227097695764,4.52,1.25,0.36
43,1,19,46.448537413382375,397.82775938016755,4.52,1.25,0.36
44,1,20,42.98405410933592,407.1641361997512,4.52,1.25,0.36
45,1,21,41.01284127568727,384.9925984251919,4.52,1.25,0.36
46,1,22,41.5271986645577,392.75645668299603,4.52,1.25,0.36
47,1,23,40.51480675304756,377.99611107709177,4.52,1.25,0.36
48,2,0,38.96280180502763,365.9943652172879,4.52,1.25,0.36
49,2,1,37.07697503865049,364.44848531189507,4.52,1.25,0.36
50,2,2,26.73707132661199,339.07679109544597,4.52,1.25,0.36
51,2,3,29.68915638487957,323.7142480001829,4.52,1.25,0.36
52,2,4,22.778412598037868,287.032519711187,4.52,1.25,0.36
53,2,5,21.364166558849487,280.4708491159173,4.52,1.25,0.36
54,2,6,22.21630862731234,288.79777195164974,4.52,1.25,0.36
55,2,7,22.034730815396493,277.4411527446928,4.52,1.25,0.36
56,2,8,20.285977388363786,290.7270820342918,4.52,1.25,0.36
57,2,9,17.406756707778676,276.0833123528001,4.52,1.25,0.36
58,2,10,21.83387472954422,316.7235083991422,4.52,1.25,0.36
59,2,11,24.346977288256276,304.2319549021879,4.52,1.25,0.36
60,2,12,29.660434031444325,326.8335562162984,4.52,1.25,0.36
61,2,13,28.493985546191972,332.5751593994591,4.52,1.25,0.36
62,2,14,32.081238856175325,350.48981598086345,4.52,1.25,0.36
63,2,15,30.613479819495222,339.3392529755536,4.52,1.25,0.36
64,2,16,36.834533954106014,357.17736049677444,4.52,1.25,0.36
65,2,17,38.54770533931833,361.1904109397263,4.52,1.25,0.36
66,2,18,39.46426202587198,361.3563089069515,4.52,1.25,0.36
67,2,19,41.74153400647657,385.408111821628,4.52,1.25,0.36
68,2,20,43.54658123502686,414.57993073045265,4.52,1.25,0.36
69,2,21,40.572467447695274,365.62026938800716,4.52,1.25,0.36
70,2,22,42.240890846608956,394.2283606467497,4.52,1.25,0.36
71,2,23,39.24561952515753,364.7731451680445,4.52,1.25,0.36
72,3,0,37.21650357945575,375.1319076274439,4.52,1.25,0.36
73,3,1,35.328706854423714,356.95152223797237,4.52,1.25,0.36
74,3,2,35.712563527997105,346.7137685523103,4.52,1.25,0.36
75,3,3,28.941508539880147,309.6493413989307,4.52,1.25,0.36
76,3,4,28.072206396633177,323.6247693007026,4.52,1.25,0.36
77,3,5,24.78462804241448,294.59685592974785,4.52,1.25,0.36
78,3,6,20.312136335132656,287.0702329320627,4.52,1.25,0.36
79,3,7,16.24145979544735,285.20570187341633,4.52,1.25,0.36
80,3,8,18.905942374490394,263.8190882767093,4.52,1.25,0.36
81,3,9,10.514520277093347,293.8017936266582,4.52,1.25,0.36
82,3,10,22.12633929783298,301.61455869886214,4.52,1.25,0.36
83,3,11,30.047604480541125,303.5639924091043,4.52,1.25,0.36
