time,arrival_rate_jobs_per_hour
0,8.051763809020505
1,8.0
2,7.948236190979496
3,7.9
4,7.858578643762691
5,7.826794919243112
6,7.806814834742187
7,7.8
8,7.806814834742187
9,7.826794919243112
10,7.858578643762691
11,7.9
12,7.948236190979496
13,8.0
14,8.051763809020503
15,8.1
16,8.14142135623731
17,8.173205080756889
18,8.193185165257814
19,8.2
20,8.193185165257814
21,8.173205080756889
22,8.14142135623731
23,8.1
24,8.051763809020505
25,8.0
26,7.948236190979496
27,7.9
28,7.858578643762691
29,7.826794919243112
30,7.806814834742187
31,7.8
32,7.806814834742187
33,7.826794919243112
34,7.858578643762691
35,7.9
36,7.948236190979496
37,8.0
38,8.051763809020503
39,8.1
40,8.14142135623731
41,8.173205080756889
42,8.193185165257814
43,8.2
44,8.193185165257814
45,8.173205080756889
46,8.14142135623731
47,8.1
48,8.051763809020505
49,8.0
50,7.948236190979496
51,7.9
52,7.858578643762691
53,7.826794919243112
54,7.806814834742187
55,7.8
56,7.806814834742187
57,7.826794919243112
58,7.858578643762691
59,7.9
60,7.948236190979496
61,8.0
62,8.051763809020503
63,8.1
64,8.14142135623731
65,8.173205080756889
66,8.193185165257814
67,8.2
68,8.193185165257814
69,8.173205080756889
70,8.14142135623731
71,8.1
72,8.051763809020505
73,8.0
74,7.948236190979496
75,7.9
76,7.858578643762691
77,7.826794919243112
78,7.806814834742187
79,7.8
80,7.806814834742187
81,7.826794919243112
82,7.858578643762691
83,7.9
84,7.948236190979496
85,8.0
86,8.051763809020503
87,8.1
88,8.14142135623731
89,8.173205080756889
90,8.193185165257814
91,8.2
92,8.193185165257814
93,8.173205080756889
94,8.14142135623731
95,8.1
96,8.051763809020505
97,8.0
98,7.948236190979496
99,7.9
100,7.858578643762691
101,7.826794919243112
102,7.806814834742187
103,7.8
104,7.806814834742187
105,7.826794919243112
106,7.858578643762691
107,7.9
108,7.948236190979496
109,8.0
110,8.051763809020503
111,8.1
112,8.14142135623731
113,8.173205080756889
114,8.193185165257814
115,8.2
116,8.193185165257814
117,8.173205080756889
118,8.14142135623731
119,8.1
120,8.051763809020505
121,8.0
122,7.948236190979496
123,7.9
124,7.858578643762691
125,7.826794919243112
126,7.806814834742187
127,7.8
128,7.806814834742187
129,7.826794919243112
130,7.858578643762691
131,7.9
132,7.948236190979496
133,8.0
134,8.051763809020503
135,8.1
136,8.14142135623731
137,8.173205080756889
138,8.193185165257814
139,8.2
140,8.193185165257814
141,8.173205080756889
142,8.14142135623731
143,8.1
144,8.051763809020505
145,8.0
146,7.948236190979496
147,7.9
148,7.858578643762691
149,7.826794919243112
150,7.806814834742187
151,7.8
152,7.806814834742187
153,7.826794919243112
154,7.858578643762691
155,7.9
156,7.948236190979496
157,8.0
158,8.051763809020503
159,8.1
160,8.14142135623731
161,8.173205080756889
162,8.193185165257814
163,8.2
164,8.193185165257814
165,8.173205080756889
166,8.14142135623731
167,8.1
