building_id,phase_id,announcement_date,construction_start,commissioning_window,operational_by,square_feet,number_of_data_halls,IT_design_MW,critical_IT_electrical_MW,UPS_PDU_switchgear_MW,building_service_MW,facility_MW,generator_MW,cooling_capacity,architecture,water_system,retrofit_events,source_ids,confidence,unresolved_fields
PRN1,E1_OCP_COMMISSIONING,2009-2010_Project_Vitesse,2010-01-25_permit_opened_proxy,2011-04-14_core_shell_final;_sections_C_D_2011-08-24,2011-04-14,UNKNOWN_original;_Southland_interior_improvement_90000_later;_MeeFog_stated_147000_hall_TIER2,sections_A_D_documented;_exact_hall_count_UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SOUTHLAND_CONTEXT_first_40_MW_facility_CONTRACTOR_STATED,DEQ_backup_present_NOT_IT,UNKNOWN,DIRECT_OUTSIDE_AIR_EVAP_CONFIRMED_early;_CHW_addition_2023-2024_CONFIRMED_presence,MIST_RO_RECIRCULATING_early_CONFIRMED;_later_UNKNOWN,PRN1_network_core_addition_hydronic_2023-09-21;_roof_chiller_operational_2024-02-02,META_ENG_2011_PARK;OCP_DC_V1_2011;CITY_CU2021_110;PRN1_PERMITS;SOUTHLAND_PRN1,HIGH_identity_and_early_architecture;_LOW_MW,original_sf;IT_MW;CHW_condenser;load_share
PRN2,E2_LATER_PRN,OCP_2012_second_building_next_year;_OPUC_early_2014_four_buildings,UNKNOWN,Level_5_commissioning_on_Southland_page;_exact_CO_UNKNOWN,earliest_possible_2013-2014;_confirmed_operational_by_UNKNOWN,357000_CONTRACTOR_STATED,4_identical_CONTRACTOR_STATED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40_CONTRACTOR_STATED,DEQ_backup_present_NOT_IT,UNKNOWN,DIRECT_EVAP_MEDIA_SUPPORTED_TIER3;_not_written_into_frozen_registry,WETTED_MEDIA_NO_RO_SUPPORTED_TIER2_if_Phase2_is_this_hall;_RO_PUBLICLY_UNRESOLVED_at_building_id,,SOUTHLAND_PRN2;OPUC_UM1989;CITY_ORD1246;DCK_PHASE2_MEDIA_2012,MEDIUM_HIGH_contractor_architecture;_MEDIUM_facility_MW_boundary,actual_load;commissioning_date;RO_presence;BMS_airflow
PRN3,E2_LATER_PRN,after_PRN2;_OPUC_four_buildings_early_2014,UNKNOWN,UNKNOWN_exact,UNKNOWN,494000_approximately_CONTRACTOR_STATED,data_hall_singular_plus_core_network_area_CONTRACTOR,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,32_CONTRACTOR_STATED,DEQ_backup_present_NOT_IT,UNKNOWN,OA_ECONOMIZER_PLUS_DIRECT_EVAP_MEDIA_SUPPORTED_TIER3;_network_core_IEC_cooling_towers_PHE_SUPPORTED_TIER3,media_plus_tower_blowdown_in_core_SUPPORTED_TIER3;_ratios_UNKNOWN,,SOUTHLAND_PRN3;OPUC_UM1989;CITY_ORD1246,MEDIUM_HIGH_contractor_architecture,actual_load;CO_date;tower_operating_hours;makeup_split
PRN4,E2_LATER_PRN,named_CITY_ORD1246_2018;_Southland_completed_2016,UNKNOWN,Southland_completed_2016_LEED_Gold,2016_CONTRACTOR_COMPLETION_not_utility_CO,40000_CONTRACTOR_STATED,phase1_one_2MW_hall;_phase2_2MW_halls_plural,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,phase_sum_about_4_MW_if_2_plus_2_CONTRACTOR_HALL_MW_NOT_IT_METER,DEQ_backup_present_NOT_IT,UNKNOWN,PACKAGED_DIRECT_EVAP_SUPPORTED_TIER3,UNKNOWN_beyond_direct_evap_equipment,two_phases_on_contractor_page,SOUTHLAND_PRN4;CITY_ORD1246,MEDIUM_scale_differs_from_PRN2_3;_identity_as_Meta_PRN4_MEDIUM_HIGH,whether_40k_sf_is_full_named_PRN4_or_a_subset
PRN5,E2_LATER_PRN_NAMED_2018,OPUC_2018_two_additional_large_PRN_buildings,UNKNOWN,UNKNOWN,UNKNOWN;_DEQ_label_present_2024,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DEQ_backup_present_NOT_IT,UNKNOWN,UNKNOWN_frozen_registry;_OA_ECH_copy_POSSIBLE_not_confirmed,UNKNOWN,,OPUC_UM1989;CITY_ORD1246;DEQ_AR_BUILDINGS_2024,HIGH_existence;_LOW_architecture,all_capacity_and_mechanical_fields
PRN6,E2_LATER_PRN_NAMED_2018,OPUC_2018_two_additional_large_PRN_buildings,UNKNOWN,UNKNOWN,UNKNOWN;_DEQ_label_present_2024,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DEQ_backup_present_NOT_IT,UNKNOWN,UNKNOWN_frozen_registry;_OA_ECH_copy_POSSIBLE_not_confirmed,UNKNOWN,,OPUC_UM1989;CITY_ORD1246;DEQ_AR_BUILDINGS_2024,HIGH_existence;_LOW_architecture,all_capacity_and_mechanical_fields
CCO1,E3_CCO,2018-09-20,2018-08-29_STR_opened_proxy,2020_data_hall_mechanical_finals;_2021-07-08_full_mech;_2022-02-09_structural_closeout,2020_phased_halls_CONFIRMED_construction;_first_IT_operation_UNKNOWN,UNKNOWN,CCO1_A-E_permit_labels,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_do_not_use_CCO_220MW_interconnect_as_building,DEQ_backup_present_NOT_IT,UNKNOWN,ECH_piping_SUPPORTED;_hall_chiller_UNKNOWN;_CRAC_electrical_room_not_hall,PARTIAL_IWS_IWR_piping,,CITY_CU2019_111;CCO_MECH_2019;OPUC_UM1989,HIGH_identity_chronology;_PARTIAL_architecture,IT_MW;heat_rejection;complete_mechanical_narrative
CCO2,E3_CCO,2018-09-20,with_CCO1,with_CCO1,UNKNOWN_exact,UNKNOWN,CCO2_A-E_permit_labels,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DEQ_backup_present_NOT_IT,UNKNOWN,UNKNOWN_complete;_do_not_copy_PRN1,PARTIAL,,CITY_CU2019_111;CCO_MECH_2019;OPUC_UM1989,HIGH_identity;_LOW_architecture,all_mechanical_capacity
CCO3,E3PLUS_CCO_LATER,PUBLICLY_UNRESOLVED,UNKNOWN,UNKNOWN,DEQ_hours_table_label_present_2024_not_CO_date,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_CriticalArc_60MW_per_bldg_NOT_ASSIGNED_to_this_id,DEQ_backup_present_NOT_IT,UNKNOWN,PUBLICLY_UNRESOLVED,PUBLICLY_UNRESOLVED,,DEQ_AR_BUILDINGS_2024,HIGH_existence_2024;_UNKNOWN_all_else,dates_area_halls_capacity_architecture_water
CCO5,E3PLUS_CCO_LATER,PUBLICLY_UNRESOLVED,UNKNOWN,UNKNOWN,DEQ_hours_table_label_present_2024_not_CO_date,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_CriticalArc_60MW_per_bldg_NOT_ASSIGNED_to_this_id,DEQ_backup_present_NOT_IT,UNKNOWN,PUBLICLY_UNRESOLVED,PUBLICLY_UNRESOLVED,,DEQ_AR_BUILDINGS_2024,HIGH_existence_2024;_UNKNOWN_all_else,dates_area_halls_capacity_architecture_water
