year,quantity,status,lo,hi,meaning
2011,campus_AIR_STREAM_EVAPORATED_WATER,PRN1_ONLY_INTENSITY_TIMES_UNKNOWN_P_IT,,,PRN1-only year. Intensity envelope exists at 12 K scenario; P_IT unidentified without PUE split.
2012,campus_AIR_STREAM_EVAPORATED_WATER,NOT_IDENTIFIABLE,,,2011: only PRN1 confirmed; volume still requires P_IT (facility MWh is P_fac not P_IT). Later years: unidentified architecture and lambda make campus water not meaningfully bounded.
2013,campus_AIR_STREAM_EVAPORATED_WATER,NOT_IDENTIFIABLE,,,2011: only PRN1 confirmed; volume still requires P_IT (facility MWh is P_fac not P_IT). Later years: unidentified architecture and lambda make campus water not meaningfully bounded.
2014,campus_AIR_STREAM_EVAPORATED_WATER,NOT_IDENTIFIABLE,,,2011: only PRN1 confirmed; volume still requires P_IT (facility MWh is P_fac not P_IT). Later years: unidentified architecture and lambda make campus water not meaningfully bounded.
2015,campus_AIR_STREAM_EVAPORATED_WATER,NOT_IDENTIFIABLE,,,2011: only PRN1 confirmed; volume still requires P_IT (facility MWh is P_fac not P_IT). Later years: unidentified architecture and lambda make campus water not meaningfully bounded.
2016,campus_AIR_STREAM_EVAPORATED_WATER,NOT_IDENTIFIABLE,,,2011: only PRN1 confirmed; volume still requires P_IT (facility MWh is P_fac not P_IT). Later years: unidentified architecture and lambda make campus water not meaningfully bounded.
2017,campus_AIR_STREAM_EVAPORATED_WATER,NOT_IDENTIFIABLE,,,2011: only PRN1 confirmed; volume still requires P_IT (facility MWh is P_fac not P_IT). Later years: unidentified architecture and lambda make campus water not meaningfully bounded.
2018,campus_AIR_STREAM_EVAPORATED_WATER,NOT_IDENTIFIABLE,,,2011: only PRN1 confirmed; volume still requires P_IT (facility MWh is P_fac not P_IT). Later years: unidentified architecture and lambda make campus water not meaningfully bounded.
2019,campus_AIR_STREAM_EVAPORATED_WATER,NOT_IDENTIFIABLE,,,2011: only PRN1 confirmed; volume still requires P_IT (facility MWh is P_fac not P_IT). Later years: unidentified architecture and lambda make campus water not meaningfully bounded.
2020,campus_AIR_STREAM_EVAPORATED_WATER,NOT_IDENTIFIABLE,,,2011: only PRN1 confirmed; volume still requires P_IT (facility MWh is P_fac not P_IT). Later years: unidentified architecture and lambda make campus water not meaningfully bounded.
2021,campus_AIR_STREAM_EVAPORATED_WATER,NOT_IDENTIFIABLE,,,2011: only PRN1 confirmed; volume still requires P_IT (facility MWh is P_fac not P_IT). Later years: unidentified architecture and lambda make campus water not meaningfully bounded.
2022,campus_AIR_STREAM_EVAPORATED_WATER,NOT_IDENTIFIABLE,,,2011: only PRN1 confirmed; volume still requires P_IT (facility MWh is P_fac not P_IT). Later years: unidentified architecture and lambda make campus water not meaningfully bounded.
2023,campus_AIR_STREAM_EVAPORATED_WATER,NOT_IDENTIFIABLE,,,2011: only PRN1 confirmed; volume still requires P_IT (facility MWh is P_fac not P_IT). Later years: unidentified architecture and lambda make campus water not meaningfully bounded.
2024,campus_AIR_STREAM_EVAPORATED_WATER,NOT_IDENTIFIABLE,,,2011: only PRN1 confirmed; volume still requires P_IT (facility MWh is P_fac not P_IT). Later years: unidentified architecture and lambda make campus water not meaningfully bounded.
