field,source_file,meaning,unit,sample_cadence,hardware_component,measured_vs_derived,aggregation_level,integration_method,uncertainty,evidence_class
gpu-k[mW],00_raw_datasets/**/nvml_*.log,Instantaneous NVML-reported power for GPU device k on one node,mW,nominal 0.2 s training / 0.1–0.2 s inference (native timestamps),NVIDIA H100 GPU,measured (NVML),device,native-timestamp trapezoid; source resample then sum,NVIDIA/literature approximately ±5% for NVML power; relatively strong,LITERATURE_NVML_PM_PLUSMINUS_5PCT
gpu-k[C],00_raw_datasets/**/nvml_*.log,GPU temperature,degC,same as NVML power,NVIDIA H100 GPU,measured (NVML),device,not integrated,not quantified in this module,REPORTED
cpu-k[W],00_raw_datasets/**/rapl_*.log,AMD RAPL package-domain power for CPU socket k (WattAMeter RAPL tracker),W,"native timestamps, typically ~0.2 s",AMD EPYC 9554 package,measured (RAPL interface),socket/package,native-timestamp trapezoid,Intel RAPL has strong external AC validation; comparable AMD validation not identified by the source paper,AMD_RAPL_PARTIALLY_VALIDATED
cpu-k-core[W],00_raw_datasets/**/rapl_*.log,AMD RAPL core-domain power; empirically ~0.02–0.5 W vs tens of W package,W,same as RAPL package,AMD EPYC 9554 core domain,measured (RAPL),socket core-domain,source postprocess sums package+core; double-count is negligible in this dataset,same AMD RAPL caveat; numerical contribution negligible,AMD_RAPL_PARTIALLY_VALIDATED
power[W],01_aggregated_datasets/**/results/*.parquet,Source-resampled sum of per-node GPU NVML + per-node CPU RAPL (package+core),W,0.2 s training; 0.1 s inference,CPU packages + GPUs on allocated nodes,derived from measured components,job / profile (all measured devices summed),linear interpolation onto common grid then sum; NOT full-node AC,"combined: GPU relatively strong, AMD CPU partial; interpolation adds small synchronization error",DERIVED_CPU_PLUS_GPU_COMPONENT
mean_power[W] / peak_power[W],01_aggregated_datasets/**/metadata.csv,Source-reported mean and peak of aggregated power[W] over the profile window,W,run-level summary,CPU+GPU compute components,derived,independent run/profile,mean of resampled trace,inherits component measurement classes,DERIVED_CPU_PLUS_GPU_COMPONENT
slurmid,training/metadata.csv and raw log filenames,Slurm job ID for training/fine-tuning runs,dimensionless,job,n/a,scheduler metadata,job,n/a,exact integer IDs; matched to Kestrel extract where present,SCHEDULER
node hostname in filename,raw log names,Kestrel node identifier for that NVML/RAPL log,n/a,file,node,filename metadata,node,n/a,n/a,FILENAME
vLLM request_rate / tokens / latency,inference_online_* /metadata.csv,Online-inference demand and performance metadata from vLLM benchmark,"requests/s, tokens, ms",run,n/a,"workload telemetry, not power",run,n/a,as reported by vLLM benchmark; not independently audited here,WORKLOAD_TELEMETRY
P_other_node,none in this dataset,"Node loads outside CPU package RAPL + GPU NVML (DRAM beyond package, NVMe, NICs, board/chassis, PSU losses, other peripherals)",W,unmeasured,remainder of node / PSU,unmeasured,node,not estimated in this module,unresolved,UNRESOLVED
