model_id,parameter,value,unit,status,source_or_basis,assumed_or_fitted,plausible_range,used_in_code,notes
M_GRAYBOX,supply_target_C,25.0,degC,literature/design assumption,src/prineville_graybox.py Params; not a reported Meta setpoint,assumed,range_not_established,yes,Controller target in simulate(). No documented numeric range in repository sources.
M_GRAYBOX,return_air_C,35.0,degC,unused,declared on Params; simulate() never reads it,assumed,range_not_established,no,Declared-but-unused. Do not perturb; it cannot affect outputs.
M_GRAYBOX,evap_effectiveness,0.85,1,literature/design assumption,src/prineville_graybox.py Params,assumed,range_not_established,yes,No numeric effectiveness range is documented in repository sources or the 2011 design article as used here.
M_GRAYBOX,server_deltaT_C,12.0,degC,literature/design assumption,src/prineville_graybox.py Params,assumed,range_not_established,yes,Sets airflow m_air = P_IT×1e6/(cp×ΔT). No documented range in repo sources.
M_GRAYBOX,dry_air_cp_J_kgK,1006.0,J/kg/K,physical_constant,src/prineville_graybox.py; ASHRAE-form dry-air specific heat used in the same file,assumed,range_not_established,yes,Treated as a physical constant. No repo-documented perturbation range; not perturbed.
M_GRAYBOX,fan_fraction_of_it,0.025,1,literature/design assumption,"gray-box prior; stochastic_conditional_simulation.sampled_facility_priors documents total overhead in [0.045, 0.090] and fan_share in [0.25, 0.65]",assumed,0.01125-0.0585,yes,"OTA range = documented total_overhead × fan_share bounds from sampled_facility_priors. Baseline 0.025 lies inside. Sensitivity of assumptions, not a CI."
M_GRAYBOX,other_facility_fraction_of_it,0.035,1,literature/design assumption,"gray-box prior; sampled_facility_priors total [0.045,0.090] and complementary fan_share",assumed,0.01575-0.0675,yes,OTA range = total_overhead × (1-fan_share) bounds from sampled_facility_priors. Fan+other baseline 0.06 is intended to leave room for ~1.07 mild-weather PUE.
M_GRAYBOX,evap_aux_fraction,0.005,1,literature/design assumption,hard-coded 0.005×P_IT×spray in prineville_graybox.simulate; not a Params field,assumed,range_not_established,yes,No documented numeric range. Not perturbed.
M_WATER_SCALE_GLOBAL,water_scale,8.24650287088067,1,fitted_parameter,outputs/conditional_water_model.csv; fit on train years through 2022; filled at report generation,fitted,range_not_established,yes,Geometric-mean scale fitted on train years with water. Empirical mapping from simplified raw-evaporation physics to the Meta withdrawal accounting boundary; not a gray-box physical parameter and not a mass-balance multiplier.
M_WATER_ENERGY_NULL,beta_electricity_m3_per_mwh,0.364305618310312,m3/MWh,fitted_parameter,outputs/stochastic_proxy_water_model_diagnostics.csv; filled at report generation,fitted,range_not_established,yes,NNLS coefficient frozen after train-only selection. Not perturbed here.
M_STOCHASTIC,total_overhead_fraction,"0.065 (prior mean; N(0.065, 0.009) clipped)",1,scenario_prior,src/stochastic_conditional_simulation.py::sampled_facility_priors,assumed,0.045-0.090,yes,"Documented clip range used only to bound gray-box OTA fan/other fractions. Scenario prior, not a fitted campus overhead."
M_STOCHASTIC,fan_share_of_overhead,"Beta(4,5) clipped",1,scenario_prior,src/stochastic_conditional_simulation.py::sampled_facility_priors,assumed,0.25-0.65,yes,Complement is other-facility share. Combined with total_overhead_fraction to get the only repo-documented numeric ranges for fan_fraction_of_it and other_facility_fraction_of_it.
