month,PUE_mean,WUE_mean,n,weather
6,1.2341026511263469,1.5140314024133756,221,KFQD
7,1.2881718478935686,2.1582130438737654,401,KFQD
8,1.253615648437494,1.7544580368518312,629,KFQD
6,1.1178517599742712,0.03296135579608942,221,KRDM
7,1.136720166962877,0.2806140601285091,401,KRDM
8,1.1436566424207881,0.3706630489659174,629,KRDM
6,1.2022998885350968,1.1377220884369779,202,KEHO
7,1.2694358212662264,1.9469386582398136,329,KEHO
8,1.229364555080618,1.4743791662001786,562,KEHO
6,1.2021148241593491,1.1118652107165872,221,KGSP
7,1.2753050515744304,1.98798935769943,401,KGSP
8,1.2462777476422278,1.657679979986627,629,KGSP
