cell_id,scenario,topology,n_nodes,memory,gamma,cadence,cadence_over_tau_relax,pumping_quality,absolute_pumping_scale_known,recharge_quality,recharge_lag,confounding_rho,mcar_fraction,blocks_per_node,observed_node_fraction,snr_head,process_noise_sd,est_rate_L,est_rate_N,nire_L,nire_N,nire_S,nire_B0,shape_error_L,rmse_L,rmse_B0,rmse_ratio_L_vs_B0,edge_f1,false_edge_any_rate,false_edge_count_median,absolute_S_identifiable,physical_parameter_identifiable,placebo_false_effect_rate_L,classification
CURVE_curve_block_outage_0,S5,path5,5,MED,MED,4,0.2000000000000004,P-MULTNOISE,True,R-NOISE,0,0.3,0.1,0,1.0,10.0,0.05,1.0,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,1.0,0.0371121864928198,0.5169733385739854,0.6446839837297764,0.8019019420694624,0.7272727272727273,0.8,1.0,False,False,,FORECASTING_ONLY;NETWORK_NOT_EARNED;ABSOLUTE_PHYSICAL_SCALE_NOT_IDENTIFIED
CURVE_curve_block_outage_1,S5,path5,5,MED,MED,4,0.2000000000000004,P-MULTNOISE,True,R-NOISE,0,0.3,0.1,1,1.0,10.0,0.05,1.0,1.0,0.8587398759189324,0.8033952792746621,0.9597875257351544,1.0,0.0325107571209406,0.5253566592342457,0.6490392957226433,0.8094373679629231,0.7272727272727273,0.7833333333333333,1.0,False,False,,FORECASTING_ONLY;NETWORK_NOT_EARNED;ABSOLUTE_PHYSICAL_SCALE_NOT_IDENTIFIED
CURVE_curve_block_outage_2,S5,path5,5,MED,MED,4,0.2000000000000004,P-MULTNOISE,True,R-NOISE,0,0.3,0.1,2,1.0,10.0,0.05,1.0,1.0,0.8363805760051004,0.7834133201783662,0.9187308757192444,1.0,0.0327079893693706,0.538722017067812,0.6567695627316692,0.8202603281844123,0.6666666666666666,0.55,1.0,False,False,,FORECASTING_ONLY;NETWORK_NOT_EARNED;ABSOLUTE_PHYSICAL_SCALE_NOT_IDENTIFIED
CURVE_curve_cadence_1,S5,path5,5,MED,MED,1,0.0500000000000001,P-MULTNOISE,True,R-NOISE,0,0.3,0.1,0,1.0,10.0,0.05,1.0,1.0,0.844167342916488,0.7413211102798469,0.8852925492969963,1.0,0.1103196816044471,0.3984658607263861,0.4345131950234503,0.9170397246621734,0.75,0.8,1.0,False,False,,FORECASTING_ONLY;NETWORK_NOT_EARNED;ABSOLUTE_PHYSICAL_SCALE_NOT_IDENTIFIED
CURVE_curve_cadence_13,S5,path5,5,MED,MED,13,0.6500000000000014,P-MULTNOISE,True,R-NOISE,0,0.3,0.1,0,1.0,10.0,0.05,1.0,0.8333333333333334,0.914099729651747,0.9039218046047724,1.199793082636689,1.0,0.0502128590620391,0.9240937882167188,1.0998486326808012,0.8402008792467263,0.6666666666666666,0.5,0.5,False,False,,FORECASTING_ONLY;NETWORK_NOT_EARNED;ABSOLUTE_PHYSICAL_SCALE_NOT_IDENTIFIED
CURVE_curve_cadence_2,S5,path5,5,MED,MED,2,0.1000000000000002,P-MULTNOISE,True,R-NOISE,0,0.3,0.1,0,1.0,10.0,0.05,1.0,1.0,0.8235045480408048,0.7063241935057729,0.8961314393445841,1.0,0.053538289422634,0.4253101587851441,0.5076096610457074,0.8378685265937981,0.8,0.7333333333333333,1.0,False,False,,FORECASTING_ONLY;NETWORK_NOT_EARNED;ABSOLUTE_PHYSICAL_SCALE_NOT_IDENTIFIED
CURVE_curve_cadence_4,S5,path5,5,MED,MED,4,0.2000000000000004,P-MULTNOISE,True,R-NOISE,0,0.3,0.1,0,1.0,10.0,0.05,1.0,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,1.0,0.0371121864928198,0.5169733385739854,0.6446839837297764,0.8019019420694624,0.7272727272727273,0.8,1.0,False,False,,FORECASTING_ONLY;NETWORK_NOT_EARNED;ABSOLUTE_PHYSICAL_SCALE_NOT_IDENTIFIED
CURVE_curve_confounding_0p0,S2,path5,5,MED,MED,4,0.2000000000000004,P-MULTNOISE,True,R-NOISE,0,0.0,0.1,0,1.0,10.0,0.05,1.0,1.0,0.8576787158394541,0.7624843587531576,0.9076072008573176,1.0,0.0388514586200657,0.558523115479874,0.6796530724438712,0.821776783074867,0.7272727272727273,0.8,1.0,False,False,,FORECASTING_ONLY;NETWORK_NOT_EARNED;ABSOLUTE_PHYSICAL_SCALE_NOT_IDENTIFIED
CURVE_curve_confounding_0p3,S2,path5,5,MED,MED,4,0.2000000000000004,P-MULTNOISE,True,R-NOISE,0,0.3,0.1,0,1.0,10.0,0.05,1.0,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,1.0,0.0371121864928198,0.5169733385739854,0.6446839837297764,0.8019019420694624,0.7272727272727273,0.8,1.0,False,False,,FORECASTING_ONLY;NETWORK_NOT_EARNED;ABSOLUTE_PHYSICAL_SCALE_NOT_IDENTIFIED
CURVE_curve_confounding_0p6,S2,path5,5,MED,MED,4,0.2000000000000004,P-MULTNOISE,True,R-NOISE,0,0.6,0.1,0,1.0,10.0,0.05,1.0,1.0,0.8393923006131756,0.7183797213043981,0.8689739872456048,1.0,0.0315508649225708,0.4683125942198314,0.6042394763287363,0.7750446843778311,0.7272727272727273,0.7833333333333333,1.5,False,False,,FORECASTING_ONLY;NETWORK_NOT_EARNED;ABSOLUTE_PHYSICAL_SCALE_NOT_IDENTIFIED
CURVE_curve_confounding_0p9,S2,path5,5,MED,MED,4,0.2000000000000004,P-MULTNOISE,True,R-NOISE,0,0.9,0.1,0,1.0,10.0,0.05,1.0,1.0,0.8280881348930988,0.6957969589243689,0.8403744090641819,1.0,0.0241121217617929,0.4117959603991883,0.5631866810609172,0.7311890963462723,0.75,0.8166666666666667,2.0,False,False,,FORECASTING_ONLY;NETWORK_NOT_EARNED;ABSOLUTE_PHYSICAL_SCALE_NOT_IDENTIFIED
