relative_path,sha256,source_path,source_sha256,match
EMPIRICAL_DECISION_TABLE.csv,21d090d756ac6b77f1fff56d98f9f945d49fd612fd415319586e1ba39f523052,/tmp/sgi_independent_audit/EMPIRICAL_DECISION_TABLE.csv,21d090d756ac6b77f1fff56d98f9f945d49fd612fd415319586e1ba39f523052,true
EMPIRICAL_DECISION_TABLE.md,916b155dd2dad12135728d43f8467de4d7f86eda3303abb5f1a204d4a04b0e8d,/tmp/sgi_independent_audit/EMPIRICAL_DECISION_TABLE.md,916b155dd2dad12135728d43f8467de4d7f86eda3303abb5f1a204d4a04b0e8d,true
INDEPENDENT_SCIENTIFIC_AUDIT.md,f22e50f167398c90a383b5dbba66667a1fdc5f5d6c285a88233e403d25baabf7,/tmp/sgi_independent_audit/INDEPENDENT_SCIENTIFIC_AUDIT.md,f22e50f167398c90a383b5dbba66667a1fdc5f5d6c285a88233e403d25baabf7,true
scratch/00_hash_verification.json,cfa85b7f4e8340e7dd39bde4685a8d33afdc5d4c314113e1f3b22a8a118867f0,/tmp/sgi_independent_audit/00_hash_verification.json,cfa85b7f4e8340e7dd39bde4685a8d33afdc5d4c314113e1f3b22a8a118867f0,true
scratch/00_verify_hashes.py,8390491985db8ba7005095f73b83fb051dcc4ad46b573cdae68397078c7049b5,/tmp/sgi_independent_audit/00_verify_hashes.py,8390491985db8ba7005095f73b83fb051dcc4ad46b573cdae68397078c7049b5,true
scratch/01_gate_reproduction.json,b447b4491719cc1cceaf6aeb2082c94c55bea82e18f29f9daeac3bc0e02f4020,/tmp/sgi_independent_audit/01_gate_reproduction.json,b447b4491719cc1cceaf6aeb2082c94c55bea82e18f29f9daeac3bc0e02f4020,true
scratch/01_reproduce_gates.py,1fdf42a1a4a2c5ff5391e4816b8003335f6dbd734f7b7379c4cc4059cc9cd9f8,/tmp/sgi_independent_audit/01_reproduce_gates.py,1fdf42a1a4a2c5ff5391e4816b8003335f6dbd734f7b7379c4cc4059cc9cd9f8,true
scratch/02_cell_surface.csv,a11139826cc7838a7b6d103519c1a63901ccb5327890f748f216360f7e1524b2,/tmp/sgi_independent_audit/02_cell_surface.csv,a11139826cc7838a7b6d103519c1a63901ccb5327890f748f216360f7e1524b2,true
scratch/02_cell_surface.py,1a99f64b9b6283c5af287c206de1987ecd0a228078f1a35c71927096f5739ab1,/tmp/sgi_independent_audit/02_cell_surface.py,1a99f64b9b6283c5af287c206de1987ecd0a228078f1a35c71927096f5739ab1,true
scratch/03_local_mechanism.py,92d4e1f29b5d75e2d8b3f9c6b7e77552642676ec9eb9c526116b887052c96b4e,/tmp/sgi_independent_audit/03_local_mechanism.py,92d4e1f29b5d75e2d8b3f9c6b7e77552642676ec9eb9c526116b887052c96b4e,true
scratch/03_local_mechanism.txt,3f3e6ae896b26b40eeeab897a2d9c73d4488aa48ed49af92c5168db8f577cf17,/tmp/sgi_independent_audit/03_local_mechanism.txt,3f3e6ae896b26b40eeeab897a2d9c73d4488aa48ed49af92c5168db8f577cf17,true
scratch/04_eiv.txt,751a5f1d74c6715af4be6839043b8d7f214cb3b1fa4838666ec403c689743e2d,/tmp/sgi_independent_audit/04_eiv.txt,751a5f1d74c6715af4be6839043b8d7f214cb3b1fa4838666ec403c689743e2d,true
scratch/04_eiv_decomposition.py,336f6332258bc7aece79461ad4590c071b80d40d925b1b6767125a36dc212008,/tmp/sgi_independent_audit/04_eiv_decomposition.py,336f6332258bc7aece79461ad4590c071b80d40d925b1b6767125a36dc212008,true
scratch/04_nonG0_with_growth.csv,c4432b5aa552d53ce982c4624cf1fe1e76e1ee92ab3136e6c503f4568988e1ae,/tmp/sgi_independent_audit/04_nonG0_with_growth.csv,c4432b5aa552d53ce982c4624cf1fe1e76e1ee92ab3136e6c503f4568988e1ae,true
scratch/05_s8_s6_net.txt,5ba2fa18f809357a67436cee54457244183d572278195125718960cf4b1e5998,/tmp/sgi_independent_audit/05_s8_s6_net.txt,5ba2fa18f809357a67436cee54457244183d572278195125718960cf4b1e5998,true
scratch/05_s8_s6_network.py,efdc21f0f02af6e102cfae1adb1a357075b5b3a1df7f482fce094323329027a9,/tmp/sgi_independent_audit/05_s8_s6_network.py,efdc21f0f02af6e102cfae1adb1a357075b5b3a1df7f482fce094323329027a9,true
scratch/06_factor_ranking_local.csv,1963cb33d05981a7410ab97891a61344d56044db9f0a3b7f4e2ae9abeb0dbc94,/tmp/sgi_independent_audit/06_factor_ranking_local.csv,1963cb33d05981a7410ab97891a61344d56044db9f0a3b7f4e2ae9abeb0dbc94,true
scratch/06_rank.txt,c8eb3e6b4a6b8086379210c6d210d50c8c9c7bc287079b459f6b0809caddf77e,/tmp/sgi_independent_audit/06_rank.txt,c8eb3e6b4a6b8086379210c6d210d50c8c9c7bc287079b459f6b0809caddf77e,true
scratch/06_ranking_and_decision_table.py,2e6a06ea99395fab171d2699b46e53f45dbbfa06210574556ebda06ea6bbf8ef,/tmp/sgi_independent_audit/06_ranking_and_decision_table.py,2e6a06ea99395fab171d2699b46e53f45dbbfa06210574556ebda06ea6bbf8ef,true
