parent_module,path,baseline_commit,exists_worktree,baseline_blob_sha256,worktree_sha256,worktree_matches_baseline
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/OCSAN_EPA_DATA_INVENTORY.md,975821ae679713cc6b2bcd984f2d16d4328289a8,True,8d2d23792a0ee06e54987bd3714c2d4b333126b18619f0b8d15fcf73c326c35a,8d2d23792a0ee06e54987bd3714c2d4b333126b18619f0b8d15fcf73c326c35a,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/README.md,975821ae679713cc6b2bcd984f2d16d4328289a8,True,fe149bb2bfc11135a9195c2047e046d1ce405b1a7d12f37ede097716224e246e,fe149bb2bfc11135a9195c2047e046d1ce405b1a7d12f37ede097716224e246e,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/config/data_contract.yaml,975821ae679713cc6b2bcd984f2d16d4328289a8,True,896fc9eecfa30050f9e9caa18a7992bf90cee94e991474791825ca5bb0c47ba3,896fc9eecfa30050f9e9caa18a7992bf90cee94e991474791825ca5bb0c47ba3,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/config/evidence_classes.yaml,975821ae679713cc6b2bcd984f2d16d4328289a8,True,0d701e502025d844c04b2be9a56c3be14dbb95eb3624856cfffe06b8e20e79d5,0d701e502025d844c04b2be9a56c3be14dbb95eb3624856cfffe06b8e20e79d5,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/config/feasibility_gates.yaml,975821ae679713cc6b2bcd984f2d16d4328289a8,True,d2e96115954287177815c028ee987d7041c4e4f73b64d3c1ee2a2fe2e6c91e92,d2e96115954287177815c028ee987d7041c4e4f73b64d3c1ee2a2fe2e6c91e92,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/feasibility/.gitkeep,975821ae679713cc6b2bcd984f2d16d4328289a8,True,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/feasibility/DATA_REQUIREMENT_GAP_MATRIX.csv,975821ae679713cc6b2bcd984f2d16d4328289a8,True,1b82f0817aa6e4bd96be0ceba8a92a6aa2f3a685e93a9f88d212c3987962868c,1b82f0817aa6e4bd96be0ceba8a92a6aa2f3a685e93a9f88d212c3987962868c,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/feasibility/DATA_REQUIREMENT_GAP_MATRIX.md,975821ae679713cc6b2bcd984f2d16d4328289a8,True,79428e03279e97d757a77ddfda2efd2bd96da49f006f96dbeb66944bcb0265fa,79428e03279e97d757a77ddfda2efd2bd96da49f006f96dbeb66944bcb0265fa,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/feasibility/FEASIBILITY_GATES.csv,975821ae679713cc6b2bcd984f2d16d4328289a8,True,2f5ca8e2e6be67bb58c3610e7c05cc6a7fc2c64fbca3e82058f654e3de2986c3,2f5ca8e2e6be67bb58c3610e7c05cc6a7fc2c64fbca3e82058f654e3de2986c3,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/feasibility/FEASIBILITY_GATES.md,975821ae679713cc6b2bcd984f2d16d4328289a8,True,371d0f4a9ff6685f4e166c2cc5fe586fa6cdaa31d7a3d418d5f1eb95ab8cdc35,371d0f4a9ff6685f4e166c2cc5fe586fa6cdaa31d7a3d418d5f1eb95ab8cdc35,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/feasibility/FINAL_FEASIBILITY_REPORT.md,975821ae679713cc6b2bcd984f2d16d4328289a8,True,7ba8492a385e0e2e54fdd9653334fa6fad3e69c0f14976c1bc5d63fe2052d750,7ba8492a385e0e2e54fdd9653334fa6fad3e69c0f14976c1bc5d63fe2052d750,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/feasibility/FINAL_FEASIBILITY_STATUS.json,975821ae679713cc6b2bcd984f2d16d4328289a8,True,f4bec6959d8e7cf4df01a88d3eb0c107cecaf0a57c8a2c41d8041e867ebe6f15,f4bec6959d8e7cf4df01a88d3eb0c107cecaf0a57c8a2c41d8041e867ebe6f15,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/figures/.gitkeep,975821ae679713cc6b2bcd984f2d16d4328289a8,True,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/figures/fig01_dwr_basin_head_station_coverage.pdf,975821ae679713cc6b2bcd984f2d16d4328289a8,True,18c60e569228f9ec470514e142cda1e79bf2bc4572e121a5a8def7723f70f5d7,18c60e569228f9ec470514e142cda1e79bf2bc4572e121a5a8def7723f70f5d7,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/figures/fig01_dwr_basin_head_station_coverage.png,975821ae679713cc6b2bcd984f2d16d4328289a8,True,a5df834947bbb6d47c5e125a5017aff88c12b3592dc91b3dc21e16c470770514,a5df834947bbb6d47c5e125a5017aff88c12b3592dc91b3dc21e16c470770514,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/figures/fig02_dwr_head_observation_frequency.pdf,975821ae679713cc6b2bcd984f2d16d4328289a8,True,05fe013d0264667210a73b604c562ff23476ed8deae3810eaaf107ca4822cc7e,05fe013d0264667210a73b604c562ff23476ed8deae3810eaaf107ca4822cc7e,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/figures/fig02_dwr_head_observation_frequency.png,975821ae679713cc6b2bcd984f2d16d4328289a8,True,5184aa0455cbb476d98e253ead3b70eb2a77d068912cc5ec9724377fa97a3078,5184aa0455cbb476d98e253ead3b70eb2a77d068912cc5ec9724377fa97a3078,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/figures/fig03_dwr_head_temporal_coverage.pdf,975821ae679713cc6b2bcd984f2d16d4328289a8,True,edeb0d110931f41a5538a65befdd39b547abfccf3e650689e8d5d8b43fc0dbd2,edeb0d110931f41a5538a65befdd39b547abfccf3e650689e8d5d8b43fc0dbd2,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/figures/fig03_dwr_head_temporal_coverage.png,975821ae679713cc6b2bcd984f2d16d4328289a8,True,4acca0191a9909ffef0e08b5d4070c09d20ea508fe9b859006029e390c44076e,4acca0191a9909ffef0e08b5d4070c09d20ea508fe9b859006029e390c44076e,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/provenance/.gitkeep,975821ae679713cc6b2bcd984f2d16d4328289a8,True,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/provenance/ACQUISITION_LEDGER.md,975821ae679713cc6b2bcd984f2d16d4328289a8,True,227d80e31cda3b74034f4b2cf31b8d078cf7300f7b378240611e47f7fbe01c63,227d80e31cda3b74034f4b2cf31b8d078cf7300f7b378240611e47f7fbe01c63,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/provenance/BASIN_GEOMETRY_PROVENANCE.json,975821ae679713cc6b2bcd984f2d16d4328289a8,True,c6c75dc6eb6f0bd744b935185f05511a551cddbfcb454200166bac3dfd370a2b,c6c75dc6eb6f0bd744b935185f05511a551cddbfcb454200166bac3dfd370a2b,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/provenance/DWR_CONTINUOUS_GWL_STATUS.json,975821ae679713cc6b2bcd984f2d16d4328289a8,True,3eec1394b6f03c4d7f9fd241f3db8766bf33263bfe958c998424a72b20c8224b,3eec1394b6f03c4d7f9fd241f3db8766bf33263bfe958c998424a72b20c8224b,True
other_sources/ocwd_groundwater_feasibility,other_sources/ocwd_groundwater_feasibility/outputs/provenance/DWR_PERIODIC_MEASUREMENT_DATA_DICTIONARY.csv,975821ae679713cc6b2bcd984f2d16d4328289a8,True,9b5b1a662f7b50028749a65a37f4a8a21a56cd298727be2df5bac74975555ef3,9b5b1a662f7b50028749a65a37f4a8a21a56cd298727be2df5bac74975555ef3,True
