priority,quantity,current_best_resolution,current_coverage,status,next_action,expected_value
1,facility electricity,annual site,2011-2024,complete public hard target,none; preserve annual ground truth,very high
1,water withdrawal,annual site,2014-2024,complete public hard target for reported period,seek monthly Meta/City meter series,very high
1,location-based Scope 2,annual site,2012-2024 except earliest gap,mostly complete public target,reconstruct physical hourly grid intensity and cross-check,very high
2,initial cooling/electrical design,design point,2011,public engineering benchmark,hold as initial-epoch prior only,high
2,municipal water-source identity,source/well inventory,current plus well logs,curated public crosswalk,use IDs for OWRD/City joins,high
2,ASR hydrogeology/design,engineering/project,2018-2021 design/pilot period,public engineering evidence,extract priors/events now; request operational monthly series,high
2,weather,hourly nearby station,2011-2024 target window,automatable official source but not bundled here,run NOAA scripts; compare with closer Prineville AWOS if complete,high
2,regional grid,hourly BA,modern,automatable official API,obtain free EIA API key and run downloader,high
3,municipal well production,monthly,unknown until query/request,manual interactive/request,export OWRD + request City series,very high for groundwater validation
3,Meta campus water meter,monthly,unknown/public-record dependent,manual request,send prepared City records request,very high for subannual validation
3,Meta wastewater discharge,monthly,unknown/public-record dependent,manual request,send prepared City records request,very high for site consumption
3,ASR injection/recovery and heads,monthly/event,unknown operational series,manual request/query,request City/OWRD monitoring time series,high
3,building commissioning/final dates,event/building,partial public history,manual permit request,request permit/final/CO export,very high for capacity epochs
4,campus feeder electricity,hourly,not public,cooperation-only,use annual Meta energy closure + latent IT load unless released,very high if obtained
4,true IT workload,hourly/subhourly,not public,cooperation-only,treat as latent state; never claim observed,high if obtained
