egrid_data_year,egrid_subregion,subregion_selection_method,n_crook_county_or_plants,crook_county_subregions,n_oregon_plants,oregon_subregions,n_pacw_plants,pacw_plant_subregion_counts,selection_note,egrid_subregion_name
2010,NWPP,oregon_plants_unique_subregion_no_crook_county_plants,0,,115,NWPP,165,"{""NWPP"": 165}","Location-based factor uses the eGRID subregion of Prineville / Crook County, Oregon. PACW generator geography is corroboration only and may include plants outside NWPP.",WECC Northwest
2012,NWPP,crook_county_oregon_plants,1,NWPP,151,NWPP,184,"{""MROW"": 1, ""NWPP"": 183}","Location-based factor uses the eGRID subregion of Prineville / Crook County, Oregon. PACW generator geography is corroboration only and may include plants outside NWPP.",WECC Northwest
2014,NWPP,crook_county_oregon_plants,1,NWPP,165,NWPP,88,"{""CAMX"": 2, ""NWPP"": 86}","Location-based factor uses the eGRID subregion of Prineville / Crook County, Oregon. PACW generator geography is corroboration only and may include plants outside NWPP.",WECC Northwest
2016,NWPP,crook_county_oregon_plants,2,NWPP,188,NWPP,97,"{""NWPP"": 97}","Location-based factor uses the eGRID subregion of Prineville / Crook County, Oregon. PACW generator geography is corroboration only and may include plants outside NWPP.",WECC Northwest
2018,NWPP,crook_county_oregon_plants,1,NWPP,217,NWPP,114,"{""NWPP"": 114}","Location-based factor uses the eGRID subregion of Prineville / Crook County, Oregon. PACW generator geography is corroboration only and may include plants outside NWPP.",WECC Northwest
2019,NWPP,crook_county_oregon_plants,3,NWPP,252,NWPP,114,"{""NWPP"": 114}","Location-based factor uses the eGRID subregion of Prineville / Crook County, Oregon. PACW generator geography is corroboration only and may include plants outside NWPP.",WECC Northwest
2020,NWPP,crook_county_oregon_plants,3,NWPP,276,NWPP,117,"{""NWPP"": 117}","Location-based factor uses the eGRID subregion of Prineville / Crook County, Oregon. PACW generator geography is corroboration only and may include plants outside NWPP.",WECC Northwest
2021,NWPP,crook_county_oregon_plants,3,NWPP,256,NWPP,105,"{""NWPP"": 105}","Location-based factor uses the eGRID subregion of Prineville / Crook County, Oregon. PACW generator geography is corroboration only and may include plants outside NWPP.",WECC Northwest
2022,NWPP,crook_county_oregon_plants,3,NWPP,265,NWPP,107,"{""NWPP"": 107}","Location-based factor uses the eGRID subregion of Prineville / Crook County, Oregon. PACW generator geography is corroboration only and may include plants outside NWPP.",WECC Northwest
2023,NWPP,crook_county_oregon_plants,3,NWPP,267,NWPP,108,"{""NWPP"": 108}","Location-based factor uses the eGRID subregion of Prineville / Crook County, Oregon. PACW generator geography is corroboration only and may include plants outside NWPP.",WECC Northwest
