item_id,artifact_path_or_reference,type,commit_or_reference,sha256,provenance,relevance_to_pscc_m0,classification,confidence,notes
AI-001,main_documents/master.tex,narrative_tex,e0b175e4d0e62adefacfe263dc7912ad36537710,83231ddc5cbf3b2682eab972da1254490b3e3178f588da027f92c89c4f830a06,repository tracked file within search boundary,Describes M0 as the static PSCC baseline and cites the paper,REFERENCE_ONLY,HIGH,Semantic description only; no executable formulation and no input data; cannot regenerate any published value
AI-002,Meta_Prineville_Oregon_v3/modeling/glossary_mapping.tex,narrative_tex,f4d035a5e83b8f83ad77b01b82c9d9a630f11dce,8179ae861810fbee853c4da1c5da29e14f896a93d6068d4bcfec8e0da515ca43,repository tracked file within search boundary,Cites the PSCC paper; describes WSF and minimax semantics generically,REFERENCE_ONLY,HIGH,Carries the directive to reproduce the PSCC model literally but supplies no code or inputs
AI-003,main_documents/glossary/Network_Based_Data_Center_Glossary.tex,narrative_tex,f5d2ced,cf880b49cde92bc241e07f56b1034bf796c8b748bde0ec97b93d60905f2e0946,repository tracked file within search boundary,Terminology overlapping PSCC concepts,REFERENCE_ONLY,HIGH,Glossary only
AI-004,other_sources/andhra_pradesh_planning_preflight/outputs/readiness/M0_REPRODUCTION_STATUS.json,prior_audit_json,f575f0daa9247799116c06e4255262a76532c307,d541d85bdf473a7f12470552e741d1b0a0cdc1b5b9c8f9a53aaeae6110848bf7,repository tracked file committed 2026-09-04,Prior independent audit reaching the same negative conclusion,CORROBORATING,HIGH,status=PARTIAL; code_path=null; all ten exactness flags false; corroborates non-recovery but is not itself a PSCC artifact
AI-005,other_sources/andhra_pradesh_planning_preflight/outputs/protocol/M0_STATIC_BASELINE_SPEC.md,prior_audit_md,f575f0daa9247799116c06e4255262a76532c307,d1540c2e8d27746fbbf856ff4611e0985e8c7166dd090e4391d077122f498aa9,repository tracked file committed 2026-09-04,Prior audit prose stating no PSCC implementation or frozen result exists,CORROBORATING,HIGH,Explicitly states no numerical reproduction was fabricated
AI-006,Data-center-PUE-prediction-tool notebooks (submodule),notebook,gitlink 11663ab76cd03100c56ab7adcb3ab65b4dd728ca,not_hashed_submodule_dirty,submodule working tree; dirty before the audit and not modified,Contains the string fmax as a local variable,FALSE_POSITIVE,HIGH,PUE sensitivity tool; not a siting LP; coincidental string match only
AI-007,Meta_Prineville_Oregon_v3/data/raw/usgs_nwaa/aggregates/*huc8-17070305*.csv,data_csv,various within boundary,not_hashed_bulk,repository tracked files,Filenames contain huc8 but the basin is Oregon 17070305,FALSE_POSITIVE,HIGH,Not California 18070105 or 18050004; excluded from M0 by the audit protocol
AI-008,other_sources/nlr_esif_fullstack/facility_overhead/analysis/*.csv,data_csv,92eeec4 / c1447b2,not_hashed_bulk,repository tracked files,Contain the literal string 68.49 as a numeric cell value,FALSE_POSITIVE,HIGH,Coincidental numeric match; ESIF explicitly excluded from M0
AI-009,other_sources/ocwd_groundwater_gw1_climate/outputs/**,data_csv_md,131657d,not_hashed_bulk,repository tracked files,Contain the literal string 1.8 as a numeric cell value,FALSE_POSITIVE,HIGH,Coincidental numeric match; OCWD groundwater explicitly excluded from M0
AI-010,dangling commit bf4e5cd734a5ce9a184394f6b58c8a81bdcf55c7,unreachable_commit,bf4e5cd734a5ce9a184394f6b58c8a81bdcf55c7,n/a,git fsck --full --no-reflogs --unreachable,Subject 'NLR Kestrel Job data'; 1180 paths; zero PSCC path matches,IRRELEVANT,HIGH,Inspected with git ls-tree without checkout
AI-011,dangling commit f3b037b2dd437b3d1dbb42b44dea0ef0e38beb7b,unreachable_commit,f3b037b2dd437b3d1dbb42b44dea0ef0e38beb7b,n/a,git fsck --full --no-reflogs --unreachable,Subject 'Initial commit'; 1 path; zero PSCC path matches,IRRELEVANT,HIGH,Inspected with git ls-tree without checkout
AI-012,unreachable blobs (7 inspected of 20 objects total),unreachable_blob,n/a,n/a,git fsck --full --no-reflogs --unreachable,Parquet data / PDF / LaTeX article / README stub / gitignore,IRRELEVANT,HIGH,No PSCC content in any
AI-013,Adjacent research project directories on the audit host (3),adjacent_projects,n/a,n/a,filesystem outside the repository,Swept for PSCC implementation signatures,IRRELEVANT,MEDIUM,Zero matches for 18070105 / 18050004 / EnergySage / GE1.5-77 / sigma_WSF / water scarcity footprint / Wind Toolkit
AI-014,Local backup directory of decompiled Python bytecode,decompiled_python,n/a,n/a,filesystem outside the repository,Belongs to an unrelated mass-appraisal project,IRRELEVANT,HIGH,No PSCC signature
AI-015,Institutional HPC storage allocated to the auditing user,storage_area,n/a,n/a,filesystem outside the repository,Contains only unrelated HPC dataset work,IRRELEVANT,MEDIUM,No PSCC signature
AI-016,PSCC 2026 main paper (specification input; NOT retained in repository),paper_pdf,external document,0be3a9541d275a08ad94ea3a1f128ef900ded063886b65e54b4ce0fd92035455,supplied to the audit as the authoritative specification,Authoritative formulation and published reproduction targets,SPECIFICATION_INPUT,HIGH,Hash records the exact document version used. Not redistributed: unpublished manuscript at audit time. Referenced by citation in README.md
AI-017,PSCC 2026 two-region exploratory document (context only; NOT retained),paper_pdf,external document,ab8ce8a30361c051d0ec2e2a3c905710c628e6109a365a9f3527c2aac40349a4,supplied to the audit as context,Different formulation; explicitly forbidden as the PSCC baseline,EXCLUDED,HIGH,Hash records the exact version consulted. Not redistributed; contains reviewer/author annotations
AI-018,J-WAFS 2026 proposal (project context only; NOT retained),proposal_pdf,external document,a536bfa97f5b2fbc4ad48b1fdc341a4fb6e83074a983756d5b14157cb0204427,supplied to the audit as project context,Explains why M0 must be frozen; not an M0 input,CONTEXT_ONLY,HIGH,Deliberately NOT redistributed: contains third-party contact details, personnel and budget figures, and letters of support
AI-019,PSCC implementation source implementing Eq. 10 and Eq. 11a-d,missing_p0,NOT FOUND,n/a,searched all 64 commits / all refs / unreachable objects / accessible host locations,Required for EXACT_M0,MISSING,HIGH,Zero hits for cvxpy or gurobi anywhere in history; repository history begins 2026-08-17 which postdates the PSCC submission
AI-020,Processed 136-HUC8 California input table and ordering,missing_p0,NOT FOUND,n/a,same search scope,Required for EXACT_M0,MISSING,HIGH,Zero hits for 18070105 or 18050004 anywhere within the boundary
AI-021,Y_l existing data-center capacity vector (Eq. 11c),missing_p0,NOT FOUND,n/a,same search scope,Required for EXACT_M0,MISSING,HIGH,Deliberately NOT assumed zero; no candidate artifact found
AI-022,Processed P / WSF / E coefficient arrays,missing_p0,NOT FOUND,n/a,same search scope,Required for EXACT_M0,MISSING,HIGH,Zero hits for EnergySage
AI-023,2013 C^s and C^w arrays plus 2011 validation arrays,missing_p0,NOT FOUND,n/a,same search scope,Required for EXACT_M0,MISSING,HIGH,Zero hits for Wind Toolkit or GE1.5-77; the single NSRDB hit is a bibliography citation
AI-024,Normalization sigmas and standard-deviation convention (ddof and ordering),missing_p0,NOT FOUND,n/a,same search scope,Required for EXACT_M0,MISSING,HIGH,Zero hits for sigma_WSF / sigma_P / sigma_E
AI-025,Flat / business / CAISO demand arrays,missing_p0,NOT FOUND,n/a,same search scope,Required for EXACT_M0,MISSING,HIGH,No demand array artifact located
AI-026,Solver environment lock (Python / CVXPY / Gurobi / NumPy / Pandas and options),missing_p0,NOT FOUND,n/a,same search scope,Required for EXACT_M0,MISSING,HIGH,No environment metadata located
AI-027,Original output CSV/NPY files and Figure/Table source data,missing_p1,NOT FOUND,n/a,same search scope,Would provide exact targets stronger than paper rounding,MISSING,HIGH,No original result files located
